#mOTUs2_clade	unnamed sample
k__Bacteria	0.8401977100
k__Bacteria|p__Proteobacteria	0.0167543292
k__Bacteria|p__Firmicutes	0.0567593211
k__Bacteria|p__Actinobacteria	0.0019793560
k__Bacteria|p__Fusobacteria	0.0054110613
k__Bacteria|p__Bacteroidetes	0.7592936424
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	0.0005401329
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	0.0145887235
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	0.0016254729
k__Bacteria|p__Firmicutes|c__Clostridia	0.0493323343
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	0.0006975789
k__Bacteria|p__Firmicutes|c__Negativicutes	0.0030613039
k__Bacteria|p__Firmicutes|c__Bacilli	0.0005633145
k__Bacteria|p__Firmicutes|c__Firmicutes class [Clostridia/Bacilli]	0.0020696225
k__Bacteria|p__Firmicutes|c__Firmicutes class [Negativicutes/Bacilli]	0.0006715872
k__Bacteria|p__Firmicutes|c__Firmicutes class incertae sedis	0.0003635797
k__Bacteria|p__Actinobacteria|c__Actinobacteria	0.0005962808
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	0.0013830753
k__Bacteria|p__Fusobacteria|c__Fusobacteriia	0.0054110613
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	0.7592936424
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales	0.0005401329
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	0.0145887235
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	0.0016254729
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	0.0493323343
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	0.0006975789
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales	0.0015351145
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales	0.0015261894
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	0.0005633145
k__Bacteria|p__Firmicutes|c__Firmicutes class [Clostridia/Bacilli]|o__Firmicutes order [Clostridiales/Lactobacillales]	0.0020696225
k__Bacteria|p__Firmicutes|c__Firmicutes class [Negativicutes/Bacilli]|o__Firmicutes order [Acidaminococcales/Lactobacillales]	0.0006715872
k__Bacteria|p__Firmicutes|c__Firmicutes class incertae sedis|o__Firmicutes order incertae sedis	0.0003635797
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales	0.0005962808
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	0.0013830753
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales	0.0054110613
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	0.7592936424
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae	0.0005401329
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae	0.0145887235
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae	0.0016254729
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae	0.0079908208
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Oscillospiraceae	0.0021262766
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae	0.0015777626
