#mOTUs2_clade	unnamed sample
k__Bacteria	0.6899685549
k__Bacteria|p__Proteobacteria	0.0821197981
k__Bacteria|p__Firmicutes	0.2104637262
k__Bacteria|p__Actinobacteria	0.3960832357
k__Bacteria|p__Bacteroidetes	0.0013017949
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	0.0819491069
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	0.0001706912
k__Bacteria|p__Firmicutes|c__Tissierellia	0.0001444952
k__Bacteria|p__Firmicutes|c__Clostridia	0.0004206431
k__Bacteria|p__Firmicutes|c__Negativicutes	0.0108333527
k__Bacteria|p__Firmicutes|c__Bacilli	0.1989809405
k__Bacteria|p__Firmicutes|c__Firmicutes class [Clostridia/Erysipelotrichia]	0.0000842946
k__Bacteria|p__Actinobacteria|c__Actinobacteria	0.3960832357
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	0.0013017949
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales	0.0006031944
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	0.0813459125
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	0.0001706912
k__Bacteria|p__Firmicutes|c__Tissierellia|o__Tissierellales	0.0001444952
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	0.0004206431
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales	0.0108333527
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	0.0006567428
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	0.1983241977
k__Bacteria|p__Firmicutes|c__Firmicutes class [Clostridia/Erysipelotrichia]|o__Firmicutes order [Clostridiales/Erysipelotrichales]	0.0000842946
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales	0.3952823634
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales	0.0006044280
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinobacteria order [Actinomycetales/Micrococcales]	0.0001964443
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	0.0013017949
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae	0.0006031944
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae	0.0813459125
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae	0.0001706912
k__Bacteria|p__Firmicutes|c__Tissierellia|o__Tissierellales|f__Peptoniphilaceae	0.0001444952
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae	0.0000834618
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae	0.0000741034
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae	0.0001873405
