#mOTUs2_clade	unnamed sample
k__Bacteria	0.8140247944
k__Bacteria|p__Proteobacteria	0.0367959163
k__Bacteria|p__Firmicutes	0.1936915644
k__Bacteria|p__Actinobacteria	0.5833944781
k__Bacteria|p__Bacteroidetes	0.0001428356
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	0.0367959163
k__Bacteria|p__Firmicutes|c__Tissierellia	0.0009960936
k__Bacteria|p__Firmicutes|c__Clostridia	0.1309403037
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	0.0133621393
k__Bacteria|p__Firmicutes|c__Negativicutes	0.0164327543
k__Bacteria|p__Firmicutes|c__Bacilli	0.0319602736
k__Bacteria|p__Actinobacteria|c__Actinobacteria	0.5829885027
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	0.0004059753
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	0.0001428356
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	0.0367959163
k__Bacteria|p__Firmicutes|c__Tissierellia|o__Tissierellales	0.0009960936
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	0.1309403037
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	0.0133621393
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales	0.0164327543
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	0.0003109343
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	0.0316493393
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales	0.0004000537
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales	0.5818133572
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales	0.0000452727
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Propionibacteriales	0.0000890031
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinobacteria order [Actinomycetales/Micrococcales]	0.0005975521
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinobacteria order [Actinomycetales/Streptomycetales]	0.0000432640
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	0.0004059753
