#mOTUs2_clade	unnamed sample
k__Bacteria	0.7482941170
k__Archaea	0.0032667296
k__Archaea|p__Euryarchaeota	0.0032667296
k__Bacteria|p__Proteobacteria	0.0145455302
k__Bacteria|p__Firmicutes	0.6042023664
k__Bacteria|p__Actinobacteria	0.0416034657
k__Bacteria|p__Synergistetes	0.0007671163
k__Bacteria|p__Verrucomicrobia	0.0028958264
k__Bacteria|p__Bacteroidetes	0.0835190342
k__Bacteria|p__Bacteria phylum incertae sedis	0.0007607776
k__Archaea|p__Euryarchaeota|c__Methanobacteria	0.0032667296
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	0.0111212685
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	0.0011523274
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	0.0022719344
k__Bacteria|p__Firmicutes|c__Tissierellia	0.0001397765
k__Bacteria|p__Firmicutes|c__Clostridia	0.5206209670
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	0.0146285887
k__Bacteria|p__Firmicutes|c__Negativicutes	0.0348167761
k__Bacteria|p__Firmicutes|c__Bacilli	0.0327083120
k__Bacteria|p__Firmicutes|c__Firmicutes class incertae sedis	0.0012879461
k__Bacteria|p__Actinobacteria|c__Actinobacteria	0.0187590551
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	0.0228444107
k__Bacteria|p__Synergistetes|c__Synergistia	0.0007671163
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	0.0028958264
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia	0.0002585974
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	0.0832604368
k__Bacteria|p__Bacteria phylum incertae sedis|c__Bacteria class incertae sedis	0.0007607776
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales	0.0032667296
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	0.0111212685
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	0.0011523274
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	0.0022719344
k__Bacteria|p__Firmicutes|c__Tissierellia|o__Tissierellia order incertae sedis	0.0001397765
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	0.5203455687
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia order incertae sedis	0.0002753983
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	0.0146285887
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales	0.0222632488
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales	0.0125535273
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	0.0327083120
k__Bacteria|p__Firmicutes|c__Firmicutes class incertae sedis|o__Firmicutes order incertae sedis	0.0012879461
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales	0.0003685017
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales	0.0182530140
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinobacteria order [Actinomycetales/Micrococcales]	0.0001375394
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	0.0058903354
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	0.0167269078
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriia order incertae sedis	0.0002271674
k__Bacteria|p__Synergistetes|c__Synergistia|o__Synergistales	0.0007671163
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales	0.0028958264
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriia order incertae sedis	0.0002585974
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	0.0832604368
k__Bacteria|p__Bacteria phylum incertae sedis|c__Bacteria class incertae sedis|o__Bacteria order incertae sedis	0.0007607776
