#mOTUs2_clade	unnamed sample
k__Bacteria	0.8062854050
k__Bacteria|p__Proteobacteria	0.0263305548
k__Bacteria|p__Firmicutes	0.0408340804
k__Bacteria|p__Actinobacteria	0.5253167540
k__Bacteria|p__Bacteroidetes	0.2138040157
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	0.0263305548
k__Bacteria|p__Firmicutes|c__Clostridia	0.0010071463
k__Bacteria|p__Firmicutes|c__Negativicutes	0.0022703571
k__Bacteria|p__Firmicutes|c__Bacilli	0.0375565770
k__Bacteria|p__Actinobacteria|c__Actinobacteria	0.5252391154
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	0.0000776386
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	0.2138040157
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	0.0263305548
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	0.0010071463
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales	0.0003785548
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales	0.0018918023
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	0.0003515845
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	0.0372049925
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales	0.0002597324
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales	0.5247543247
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales	0.0002250584
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	0.0000776386
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	0.2138040157
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae	0.0263305548
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae	0.0010071463
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae	0.0003785548
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Selenomonadaceae	0.0018918023
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae	0.0003515845
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae	0.0045113187
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae	0.0288457326
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae	0.0038479412
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae	0.0002597324
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae	0.5247543247
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Micrococcaceae	0.0002250584
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae	0.0000776386
