#mOTUs2_clade	unnamed sample
k__Bacteria	0.8250685029
k__Bacteria|p__Proteobacteria	0.0072547446
k__Bacteria|p__Firmicutes	0.4356903253
k__Bacteria|p__Actinobacteria	0.0406948115
k__Bacteria|p__Lentisphaerae	0.0039454427
k__Bacteria|p__Fusobacteria	0.0000096773
k__Bacteria|p__Verrucomicrobia	0.0065411259
k__Bacteria|p__Candidatus Saccharibacteria	0.0000078576
k__Bacteria|p__Bacteroidetes	0.3282766525
k__Bacteria|p__Bacteria phylum [Firmicutes/Actinobacteria]	0.0001071672
k__Bacteria|p__Bacteria phylum [Proteobacteria/Firmicutes]	0.0000093177
k__Bacteria|p__Bacteria phylum incertae sedis	0.0025313804
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	0.0002872463
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	0.0029738946
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	0.0039750309
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria	0.0000185727
k__Bacteria|p__Firmicutes|c__Tissierellia	0.0000765464
k__Bacteria|p__Firmicutes|c__Clostridia	0.4091183842
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	0.0023658336
k__Bacteria|p__Firmicutes|c__Negativicutes	0.0013909987
k__Bacteria|p__Firmicutes|c__Bacilli	0.0011827598
k__Bacteria|p__Firmicutes|c__Firmicutes class [Clostridia/Bacilli]	0.0053825555
k__Bacteria|p__Firmicutes|c__Firmicutes class [Clostridia/Erysipelotrichia]	0.0028590737
k__Bacteria|p__Firmicutes|c__Firmicutes class [Negativicutes/Bacilli]	0.0004055851
k__Bacteria|p__Firmicutes|c__Firmicutes class incertae sedis	0.0129085884
k__Bacteria|p__Actinobacteria|c__Actinobacteria	0.0339762161
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	0.0067185955
k__Bacteria|p__Lentisphaerae|c__Lentisphaerae class incertae sedis	0.0039454427
k__Bacteria|p__Fusobacteria|c__Fusobacteriia	0.0000096773
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	0.0065411259
k__Bacteria|p__Candidatus Saccharibacteria|c__Candidatus Saccharibacteria class incertae sedis	0.0000078576
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	0.3282766525
