#mOTUs2_clade	unnamed sample
k__Bacteria	0.7708095545
k__Bacteria|p__Proteobacteria	0.0393197019
k__Bacteria|p__Firmicutes	0.1935026755
k__Bacteria|p__Chloroflexi	0.0051782010
k__Bacteria|p__Actinobacteria	0.0013979065
k__Bacteria|p__Fusobacteria	0.0518270808
k__Bacteria|p__Tenericutes	0.0000581485
k__Bacteria|p__Elusimicrobia	0.0003800064
k__Bacteria|p__Verrucomicrobia	0.0000055651
k__Bacteria|p__Candidatus Saccharibacteria	0.0000045371
k__Bacteria|p__Bacteroidetes	0.4787463773
k__Bacteria|p__Bacteria phylum incertae sedis	0.0003893543
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	0.0156084577
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	0.0082275223
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	0.0005670151
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	0.0000496020
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria	0.0148671049
k__Bacteria|p__Firmicutes|c__Clostridia	0.1792964652
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	0.0002788987
k__Bacteria|p__Firmicutes|c__Negativicutes	0.0091812564
k__Bacteria|p__Firmicutes|c__Bacilli	0.0004490131
k__Bacteria|p__Firmicutes|c__Firmicutes class [Clostridia/Bacilli]	0.0000601478
k__Bacteria|p__Firmicutes|c__Firmicutes class [Clostridia/Erysipelotrichia]	0.0000725498
k__Bacteria|p__Firmicutes|c__Firmicutes class incertae sedis	0.0041643444
k__Bacteria|p__Chloroflexi|c__Dehalococcoidia	0.0051782010
k__Bacteria|p__Actinobacteria|c__Actinobacteria	0.0002212715
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	0.0011766349
k__Bacteria|p__Fusobacteria|c__Fusobacteriia	0.0518270808
k__Bacteria|p__Tenericutes|c__Mollicutes	0.0000581485
k__Bacteria|p__Elusimicrobia|c__Elusimicrobia	0.0003225066
k__Bacteria|p__Elusimicrobia|c__Elusimicrobia class incertae sedis	0.0000574998
k__Bacteria|p__Verrucomicrobia|c__Opitutae	0.0000055651
k__Bacteria|p__Candidatus Saccharibacteria|c__Candidatus Saccharibacteria class incertae sedis	0.0000045371
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	0.4787463773
k__Bacteria|p__Bacteria phylum incertae sedis|c__Bacteria class incertae sedis	0.0003893543
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales	0.0135184345
