#mOTUs2_clade	unnamed sample
k__Bacteria	0.7000081092
k__Bacteria|p__Proteobacteria	0.0847034419
k__Bacteria|p__Firmicutes	0.2092064007
k__Bacteria|p__Candidatus Melainabacteria	0.0180674571
k__Bacteria|p__Chloroflexi	0.0174261189
k__Bacteria|p__Actinobacteria	0.0039203742
k__Bacteria|p__Spirochaetes	0.0002057450
k__Bacteria|p__Fusobacteria	0.0385636600
k__Bacteria|p__Tenericutes	0.0046931311
k__Bacteria|p__Elusimicrobia	0.0142860258
k__Bacteria|p__Verrucomicrobia	0.0014648994
k__Bacteria|p__Bacteroidetes	0.3012287728
k__Bacteria|p__Bacteria phylum [Firmicutes/Actinobacteria]	0.0000091549
k__Bacteria|p__Bacteria phylum incertae sedis	0.0062329275
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	0.0138791529
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	0.0345582615
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	0.0048278458
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	0.0000948966
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria	0.0313432851
k__Bacteria|p__Firmicutes|c__Clostridia	0.1875418227
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	0.0015331953
k__Bacteria|p__Firmicutes|c__Negativicutes	0.0054949674
k__Bacteria|p__Firmicutes|c__Bacilli	0.0000592519
k__Bacteria|p__Firmicutes|c__Firmicutes class [Clostridia/Erysipelotrichia]	0.0000759114
k__Bacteria|p__Firmicutes|c__Firmicutes class incertae sedis	0.0145012520
k__Bacteria|p__Candidatus Melainabacteria|c__Candidatus Melainabacteria class incertae sedis	0.0180674571
k__Bacteria|p__Chloroflexi|c__Dehalococcoidia	0.0174261189
k__Bacteria|p__Actinobacteria|c__Actinobacteria	0.0006329855
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	0.0032873886
k__Bacteria|p__Spirochaetes|c__Spirochaetia	0.0002057450
k__Bacteria|p__Fusobacteria|c__Fusobacteriia	0.0341905399
k__Bacteria|p__Fusobacteria|c__Fusobacteria class incertae sedis	0.0043731201
k__Bacteria|p__Tenericutes|c__Mollicutes	0.0046931311
k__Bacteria|p__Elusimicrobia|c__Elusimicrobia class incertae sedis	0.0142860258
k__Bacteria|p__Verrucomicrobia|c__Opitutae	0.0014648994
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	0.3012287728
k__Bacteria|p__Bacteria phylum [Firmicutes/Actinobacteria]|c__Coriobacteriia	0.0000091549
k__Bacteria|p__Bacteria phylum incertae sedis|c__Bacteria class incertae sedis	0.0062329275
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales	0.0138007207
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales	0.0000700825
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	0.0000083497
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales	0.0263601798
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Alphaproteobacteria order incertae sedis	0.0081980817
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	0.0048278458
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	0.0000948966
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales	0.0313432851
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	0.1865237541
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia order incertae sedis	0.0010180687
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	0.0015331953
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales	0.0022090874
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales	0.0013649455
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales	0.0019209345
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	0.0000058234
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	0.0000534286
k__Bacteria|p__Firmicutes|c__Firmicutes class [Clostridia/Erysipelotrichia]|o__Firmicutes order [Clostridiales/Erysipelotrichales]	0.0000759114
k__Bacteria|p__Firmicutes|c__Firmicutes class incertae sedis|o__Firmicutes order incertae sedis	0.0145012520
k__Bacteria|p__Candidatus Melainabacteria|c__Candidatus Melainabacteria class incertae sedis|o__Candidatus Gastranaerophilales	0.0178473135
k__Bacteria|p__Candidatus Melainabacteria|c__Candidatus Melainabacteria class incertae sedis|o__Candidatus Melainabacteria order incertae sedis	0.0002201435
k__Bacteria|p__Chloroflexi|c__Dehalococcoidia|o__Dehalococcoidales	0.0174261189
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales	0.0000088546
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales	0.0006041378
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales	0.0000157527
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinobacteria order [Actinomycetales/Micrococcales]	0.0000042405
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	0.0004204925
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	0.0028161068
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriia order incertae sedis	0.0000507893
k__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Spirochaetales	0.0002057450
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales	0.0341905399
k__Bacteria|p__Fusobacteria|c__Fusobacteria class incertae sedis|o__Fusobacteria order incertae sedis	0.0043731201
k__Bacteria|p__Tenericutes|c__Mollicutes|o__Mycoplasmatales	0.0037230646
k__Bacteria|p__Tenericutes|c__Mollicutes|o__Mollicutes order incertae sedis	0.0009700664
k__Bacteria|p__Elusimicrobia|c__Elusimicrobia class incertae sedis|o__Elusimicrobia order incertae sedis	0.0142860258
k__Bacteria|p__Verrucomicrobia|c__Opitutae|o__Opitutae order incertae sedis	0.0014648994
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	0.3012287728
k__Bacteria|p__Bacteria phylum [Firmicutes/Actinobacteria]|c__Coriobacteriia|o__Coriobacteriales	0.0000091549
k__Bacteria|p__Bacteria phylum incertae sedis|c__Bacteria class incertae sedis|o__Bacteria order incertae sedis	0.0062329275
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales|f__Succinivibrionaceae	0.0137958977
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales|f__Aeromonadaceae	0.0000048230
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae	0.0000700825
