#mOTUs2_clade	unnamed sample
k__Bacteria	0.7699798862
k__Archaea	0.0038618178
k__Archaea|p__Euryarchaeota	0.0038618178
k__Bacteria|p__Proteobacteria	0.2270731264
k__Bacteria|p__Firmicutes	0.4065985885
k__Bacteria|p__Candidatus Melainabacteria	0.0002778923
k__Bacteria|p__Actinobacteria	0.0063327159
k__Bacteria|p__Spirochaetes	0.0002535243
k__Bacteria|p__Lentisphaerae	0.0018333519
k__Bacteria|p__Fusobacteria	0.0024004582
k__Bacteria|p__Synergistetes	0.0002433485
k__Bacteria|p__Tenericutes	0.0014466752
k__Bacteria|p__Verrucomicrobia	0.0436738680
k__Bacteria|p__Bacteroidetes	0.0713704556
k__Bacteria|p__Bacteria phylum incertae sedis	0.0084758814
k__Archaea|p__Euryarchaeota|c__Methanobacteria	0.0033261358
k__Archaea|p__Euryarchaeota|c__Methanomicrobia	0.0005356819
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	0.2217485202
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	0.0003488667
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	0.0015145252
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	0.0033299916
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria	0.0001312227
k__Bacteria|p__Firmicutes|c__Tissierellia	0.0005418810
k__Bacteria|p__Firmicutes|c__Clostridia	0.3624023521
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	0.0047837143
k__Bacteria|p__Firmicutes|c__Negativicutes	0.0015577715
k__Bacteria|p__Firmicutes|c__Bacilli	0.0005263127
k__Bacteria|p__Firmicutes|c__Firmicutes class [Clostridia/Erysipelotrichia]	0.0004950364
k__Bacteria|p__Firmicutes|c__Firmicutes class [Negativicutes/Bacilli]	0.0157773636
k__Bacteria|p__Firmicutes|c__Firmicutes class incertae sedis	0.0205141570
k__Bacteria|p__Candidatus Melainabacteria|c__Candidatus Melainabacteria class incertae sedis	0.0002778923
k__Bacteria|p__Actinobacteria|c__Actinobacteria	0.0012349648
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	0.0050977511
k__Bacteria|p__Spirochaetes|c__Spirochaetia	0.0002535243
k__Bacteria|p__Lentisphaerae|c__Lentisphaerae class incertae sedis	0.0018333519
k__Bacteria|p__Fusobacteria|c__Fusobacteriia	0.0024004582
k__Bacteria|p__Synergistetes|c__Synergistia	0.0002433485
k__Bacteria|p__Tenericutes|c__Mollicutes	0.0014466752
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	0.0225654001
k__Bacteria|p__Verrucomicrobia|c__Opitutae	0.0000718710
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobia class incertae sedis	0.0210365969
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia	0.0007401950
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	0.0706302606
k__Bacteria|p__Bacteria phylum incertae sedis|c__Bacteria class incertae sedis	0.0084758814
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales	0.0033261358
k__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanomicrobia order incertae sedis	0.0005356819
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales	0.1551622909
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	0.0665862293
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales	0.0003488667
