#mOTUs2_clade	unnamed sample
k__Bacteria	0.8428431074
k__Archaea	0.0001348802
k__Archaea|p__Euryarchaeota	0.0001348802
k__Bacteria|p__Proteobacteria	0.2215114612
k__Bacteria|p__Firmicutes	0.1152277353
k__Bacteria|p__Chloroflexi	0.0074182620
k__Bacteria|p__Actinobacteria	0.0042474792
k__Bacteria|p__Spirochaetes	0.0004851698
k__Bacteria|p__Tenericutes	0.0001879208
k__Bacteria|p__Bacteroidetes	0.4903067125
k__Bacteria|p__Bacteria phylum incertae sedis	0.0034583666
k__Archaea|p__Euryarchaeota|c__Methanobacteria	0.0001348802
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	0.2108376094
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	0.0049073482
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	0.0017426273
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria	0.0040238762
k__Bacteria|p__Firmicutes|c__Clostridia	0.0813465844
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	0.0007281648
k__Bacteria|p__Firmicutes|c__Negativicutes	0.0082933566
k__Bacteria|p__Firmicutes|c__Bacilli	0.0015135009
k__Bacteria|p__Firmicutes|c__Firmicutes class [Clostridia/Bacilli]	0.0002458131
k__Bacteria|p__Firmicutes|c__Firmicutes class [Clostridia/Erysipelotrichia]	0.0029747140
k__Bacteria|p__Firmicutes|c__Firmicutes class incertae sedis	0.0201256014
k__Bacteria|p__Chloroflexi|c__Dehalococcoidia	0.0074182620
k__Bacteria|p__Actinobacteria|c__Actinobacteria	0.0001192639
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	0.0041282153
k__Bacteria|p__Spirochaetes|c__Spirochaetia	0.0004851698
k__Bacteria|p__Tenericutes|c__Mollicutes	0.0000841488
k__Bacteria|p__Tenericutes|c__Tenericutes class incertae sedis	0.0001037721
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	0.4903067125
k__Bacteria|p__Bacteria phylum incertae sedis|c__Bacteria class incertae sedis	0.0034583666
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales	0.0001348802
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales	0.1724195598
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	0.0384180496
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales	0.0047746872
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Alphaproteobacteria order incertae sedis	0.0001326610
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	0.0017426273
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales	0.0040238762
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	0.0813465844
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	0.0007281648
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales	0.0069579607
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales	0.0004702459
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales	0.0008651501
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	0.0015135009
k__Bacteria|p__Firmicutes|c__Firmicutes class [Clostridia/Bacilli]|o__Firmicutes order [Clostridiales/Lactobacillales]	0.0002458131
k__Bacteria|p__Firmicutes|c__Firmicutes class [Clostridia/Erysipelotrichia]|o__Firmicutes order [Clostridiales/Erysipelotrichales]	0.0029747140
k__Bacteria|p__Firmicutes|c__Firmicutes class incertae sedis|o__Firmicutes order incertae sedis	0.0201256014
k__Bacteria|p__Chloroflexi|c__Dehalococcoidia|o__Dehalococcoidales	0.0074182620
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales	0.0001192639
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	0.0000678428
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	0.0040603725
k__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Spirochaetales	0.0004851698
k__Bacteria|p__Tenericutes|c__Mollicutes|o__Mycoplasmatales	0.0000841488
k__Bacteria|p__Tenericutes|c__Tenericutes class incertae sedis|o__Tenericutes order incertae sedis	0.0001037721
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	0.4903067125
