tool	sample	Sum of abundances	Weighted UniFrac error	Unweighted UniFrac error	L1 norm error	Completeness	Purity	F1 score	True positives	False positives	False negatives	Taxon counts	Jaccard index	Shannon diversity	Shannon equitability	Bray-Curtis distance
strmgCAMI2_short_read_sample_0-99.bracken_2.2.profile	strmgCAMI2_short_read_sample_0	0.9976600000000012	0.03028124066666669	0.5228044134175506	0.4978540000000002	0.75	0.04854368932038835	0.0911854103343465	15.0	294.0	5.0	309.0	0.04777070063694268	1.8616944311591948	0.32471369507704223	0.2569025393336119
strmgCAMI2_short_read_sample_0-99.bracken_2.2.profile	strmgCAMI2_short_read_sample_74	0.9988500000000013	0.031858506285714315	0.5010124912392044	0.4626420000000002	0.75	0.05136986301369863	0.09615384615384616	15.0	277.0	5.0	292.0	0.050505050505050504	1.7153204921074354	0.30216573623855913	0.23547285742206592
strmgCAMI2_short_read_sample_0-99.bracken_2.2.profile	strmgCAMI2_short_read_sample_73	0.9985900000000018	0.03515330671428573	0.43225862359139383	0.5302899999999999	0.75	0.042134831460674156	0.0797872340425532	15.0	341.0	5.0	356.0	0.04155124653739612	1.9039820965609464	0.3240858801214862	0.2680143617569701
strmgCAMI2_short_read_sample_0-99.bracken_2.2.profile	strmgCAMI2_short_read_sample_72	0.9970000000000009	0.035344726809523795	0.5215336053301907	0.5778909999999997	0.75	0.054945054945054944	0.10238907849829351	15.0	258.0	5.0	273.0	0.0539568345323741	1.8029489201360602	0.32141153141792594	0.3072383156974695
strmgCAMI2_short_read_sample_0-99.bracken_2.2.profile	strmgCAMI2_short_read_sample_71	0.9983300000000012	0.033537491142857194	0.4998008886380948	0.4913250000000001	0.75	0.056179775280898875	0.10452961672473866	15.0	252.0	5.0	267.0	0.05514705882352941	1.7956731045116856	0.321387719483712	0.2513314055171419
strmgCAMI2_short_read_sample_0-99.bracken_2.2.profile	strmgCAMI2_short_read_sample_70	0.9989000000000011	0.03369471938095239	0.5048082634906351	0.5028010000000002	0.75	0.055350553505535055	0.10309278350515463	15.0	256.0	5.0	271.0	0.05434782608695652	1.5983686580471252	0.28531502261070096	0.2584070787363981
strmgCAMI2_short_read_sample_0-99.bracken_2.2.profile	strmgCAMI2_short_read_sample_7	0.9985500000000022	0.03383975314285712	0.5100675769370953	0.5572669999999996	0.75	0.05454545454545454	0.10169491525423728	15.0	260.0	5.0	275.0	0.05357142857142857	1.8816851096125784	0.3350118915108192	0.2955625860208067
strmgCAMI2_short_read_sample_0-99.bracken_2.2.profile	strmgCAMI2_short_read_sample_69	0.995030000000002	0.030967347380952432	0.5860355402428474	0.5110419999999997	0.75	0.0395778364116095	0.07518796992481204	15.0	364.0	5.0	379.0	0.0390625	2.2254444634056627	0.37480941362525444	0.27518429370682085
strmgCAMI2_short_read_sample_0-99.bracken_2.2.profile	strmgCAMI2_short_read_sample_68	0.9989400000000014	0.03306578500000004	0.5088562508240017	0.5059820000000002	0.75	0.05102040816326531	0.09554140127388536	15.0	279.0	5.0	294.0	0.05016722408026756	1.7817890960261276	0.3134976843758533	0.2561163882862572
strmgCAMI2_short_read_sample_0-99.bracken_2.2.profile	strmgCAMI2_short_read_sample_67	0.9986100000000018	0.03273388619047616	0.49187218687460005	0.4753619999999998	0.75	0.055350553505535055	0.10309278350515463	15.0	256.0	5.0	271.0	0.05434782608695652	1.9943400406457008	0.35599745460817084	0.24170883604383442
