tool	sample	Sum of abundances	Weighted UniFrac error	Unweighted UniFrac error	L1 norm error	Completeness	Purity	F1 score	True positives	False positives	False negatives	Taxon counts	Jaccard index	Shannon diversity	Shannon equitability	Bray-Curtis distance
marmgCAMI2_short_read_sample_0-9.bracken_2.2.profile	marmgCAMI2_short_read_sample_0	0.9999700000000006	0.02714956428571429	2.431560624882359	0.20974000000000007	0.96	0.47058823529411764	0.631578947368421	24.0	27.0	1.0	51.0	0.46153846153846156	1.6748527982668002	0.425973314871115	0.10706373594960746
marmgCAMI2_short_read_sample_0-9.bracken_2.2.profile	marmgCAMI2_short_read_sample_1	0.9999500000000003	0.026148875238095233	1.9756358589243752	0.20866000000000004	0.967741935483871	0.625	0.759493670886076	30.0	18.0	1.0	48.0	0.6122448979591837	1.856633247826934	0.4796013543588914	0.10688344551331304
marmgCAMI2_short_read_sample_0-9.bracken_2.2.profile	marmgCAMI2_short_read_sample_2	1.0000099999999998	0.026859135238095258	1.7919498083824832	0.1933200000000001	0.9285714285714286	0.5652173913043478	0.7027027027027025	26.0	20.0	2.0	46.0	0.5416666666666666	1.8162409394206938	0.4743826207087992	0.09841373271701724
marmgCAMI2_short_read_sample_0-9.bracken_2.2.profile	marmgCAMI2_short_read_sample_3	0.9999800000000004	0.02586097619047618	1.2864317506666207	0.20039000000000004	0.967741935483871	0.6	0.7407407407407407	30.0	20.0	1.0	50.0	0.5882352941176471	1.9334100815299213	0.49422257457259555	0.1022653622589321
marmgCAMI2_short_read_sample_0-9.bracken_2.2.profile	marmgCAMI2_short_read_sample_4	0.9999500000000003	0.02485267809523806	2.127676072820388	0.20626999999999998	1.0	0.5625	0.72	27.0	21.0	0.0	48.0	0.5625	1.9012113758165188	0.4911166768296122	0.104767806260571
marmgCAMI2_short_read_sample_0-9.bracken_2.2.profile	marmgCAMI2_short_read_sample_5	0.9999800000000004	0.024023881428571415	1.4791176683310858	0.17316999999999994	0.9655172413793104	0.56	0.7088607594936709	28.0	22.0	1.0	50.0	0.5490196078431373	1.960826803927266	0.5012308979795138	0.08876825523756796
marmgCAMI2_short_read_sample_0-9.bracken_2.2.profile	marmgCAMI2_short_read_sample_6	1.0000200000000001	0.026623641428571435	1.4584280591599728	0.1684700000000001	0.9666666666666667	0.5686274509803921	0.7160493827160493	29.0	22.0	1.0	51.0	0.5576923076923077	1.8954399534483704	0.48207630004564506	0.08669496976714271
marmgCAMI2_short_read_sample_0-9.bracken_2.2.profile	marmgCAMI2_short_read_sample_7	1.0000000000000002	0.028568439047619073	1.749899444809546	0.18695000000000006	0.9642857142857143	0.5625	0.7105263157894737	27.0	21.0	1.0	48.0	0.5510204081632653	1.7298161573037234	0.44684224674193274	0.09581234208516769
marmgCAMI2_short_read_sample_0-9.bracken_2.2.profile	marmgCAMI2_short_read_sample_8	0.9999500000000003	0.027485435714285734	1.1493342951725074	0.17646	0.9666666666666667	0.6304347826086957	0.763157894736842	29.0	17.0	1.0	46.0	0.6170212765957447	1.730095147356754	0.4518822653234826	0.08993883792048929
marmgCAMI2_short_read_sample_0-9.bracken_2.2.profile	marmgCAMI2_short_read_sample_9	0.9999800000000002	0.024786913333333323	2.3958721569490473	0.2045900000000001	0.9655172413793104	0.5	0.6588235294117647	28.0	28.0	1.0	56.0	0.49122807017543857	1.832572314957815	0.45525769069463157	0.1042916639054702
marmgCAMI2_short_read_sample_0-9.ccmetagen_1.1.3.profile	marmgCAMI2_short_read_sample_9	0.98777493	0.042746942728571345	0.6131631278814977	0.35920888999999995	0.6551724137931034	0.8636363636363636	0.7450980392156864	19.0	3.0	10.0	22.0	0.59375	1.5137623403171363	0.48972550948709337	0.18425646658918682
marmgCAMI2_short_read_sample_0-9.ccmetagen_1.1.3.profile	marmgCAMI2_short_read_sample_8	0.98381085	0.0479625063895238	0.7146417671112691	0.37214696999999997	0.5666666666666667	0.8947368421052632	0.6938775510204083	17.0	2.0	13.0	19.0	0.53125	1.3517971440556542	0.45910176900264477	0.19125055627693008
