Genome	SRR24442552 Mean	SRR24442553 Mean	SRR24442554 Mean	SRR24442555 Mean	SRR24442556 Mean	SRR24442557 Mean	SRR24442558 Mean	SRR24442559 Mean
2_bin.29	0	0.2571559	0.7060193	0	0	27.276087	41.54156	0
2_bin.31	0	0.3216825	2.1372287	0.7776531	0.7458808	7.0742297	19.853817	4.2624054
2_bin.33	0	0	0.23214453	0	0	0	10.89198	39.962986
2_bin.35	1.0503958	0.7511649	1.1315607	0.2823862	0.48156348	0	13.639435	37.024868
2_bin.36	1.6014782	0.89189184	0.3859784	0.15056133	3.0265381	18.402517	9.48062	0.8378356
2_bin.37	0	0.5897757	0.5023425	0	1.9193165	8.14868	10.972895	0.9827714
2_bin.40	0.14053494	0.51419735	0	0	0.17396112	0.43329865	6.414309	0.17085184
2_bin.42	2.1547065	1.0160527	0.73048586	2.337347	10.0518	3.499471	425.2871	9.059423
2_bin.43	0	0	0	0	0	0	8.238292	0.1491023
2_bin.46	0	0	0	0	0.564165	0.52332735	73.835396	0.23675239
2_bin.47	0	0	0	0	0	0	5.266737	0.47361693
2_bin.48	1.0416993	2.253978	9.174669	1.2832155	4.438288	22.12266	30.010023	2.333549
2_bin.50	0	0.14113204	4.264286	0	0.23626113	11.520445	18.16455	5.5765963
2_bin.52	1.1202546	0.36507857	0.7579828	0.27359822	1.6159942	52.236458	10.450469	0.46574134
2_bin.53	0	0	0.6032768	2.473816	9.377875	23.733847	20.80125	5.2873588
2_bin.56	0	0	0	0	0	0	7.44055	0
2_bin.59	0	3.2846937	1.3460004	2.5847666	0	0.4865124	7.7818346	2.0956383
2_bin.60	0.44663948	3.1737084	13.396111	12.31189	50.907047	28.415405	17.33943	12.214733
3_bin.2	0	0.6958956	3.7381263	0	0.31418628	8.951636	0.15628806	0
3_bin.6	1.6621188	1.7126454	2.9599266	1.0106828	1.2424835	12.332879	2.3522782	0.5842111
3_bin.7	1.8560708	2.8839362	10.067265	3.5658455	25.160334	454.75888	42.97955	2.3684974
3_bin.12	0	0	0	0	0.21266022	73.86331	0	0
3_bin.16	1.1137445	0.55659056	1.7249943	0	2.4701874	22.237694	1.4503877	0
3_bin.19	0	0	0	0	0	38.672905	0	0
3_bin.21	0.23291017	0.37807658	5.8260345	13.964655	38.172825	61.81631	0.28826818	0
3_bin.24	9.14982	26.104694	68.60258	7.9791045	9.556807	10.012604	0.19275722	0
3_bin.26	0.13809302	2.2553046	8.022534	5.927377	6.4599276	7.3750873	0	0
3_bin.27	0	0.41179195	0	0	0.41626555	7.6316423	0.47310016	0.38288966
3_bin.30	0	0	0	0.23238108	3.219579	10.028676	0.49719146	0
3_bin.31	0	0.27838868	5.544588	0.24192089	1.1870438	33.953987	3.7481108	0.24917057
3_bin.33	0.52122027	0.65652055	0.90702623	0	1.5259403	3.6600811	1.7573295	1.6478331
3_bin.35	6.9125166	9.352452	62.0321	6.014735	6.260057	32.77563	1.5505259	0
3_bin.36	0.48697197	1.5592823	4.6717453	4.5938997	21.882015	51.44917	6.82585	7.6069837
3_bin.39	0	0	0	1.6619428	0	48.670128	3.268176	0
3_bin.40	0	0	0	0	0.39804938	10.513508	0.37042776	0
3_bin.46	0.7364577	4.307529	12.929946	2.461469	8.238198	35.066216	5.638477	1.1587116
3_bin.47	0.16096063	0.17506906	0.21343774	0	0	6.1766896	0	0
3_bin.48	0	0	0	0	0.35451138	7.44984	0.7362007	0
3_bin.56	0	0	0.42633295	0	0	18.309736	0	0
3_bin.61	4.102713	0.7538669	0.6106817	0	1.2168626	12.136393	3.1930857	0.20817994
3_bin.63	3.9557552	3.8965232	2.9059186	0.54321945	4.3629727	15.631755	4.8706837	0.5977237
3_bin.64	1.5477257	2.8507	8.575124	0.7259631	0.9827707	30.270014	6.858737	0.72674733
