Genome	SRR24442552 Mean	SRR24442553 Mean	SRR24442554 Mean	SRR24442555 Mean	SRR24442556 Mean	SRR24442557 Mean	SRR24442558 Mean	SRR24442559 Mean
Co_bin.160	0	0	0.5883453	0	0.17860784	6.7539625	0.33537883	0
Co_bin.164	0	0	0	0	0	0.6866956	10.531582	0
Co_bin.168	0	0	0.5854922	0	1.6784921	0.35959545	0	11.039846
Co_bin.173	14.38278	2.7179	2.2263448	0.5230172	0.48187977	0.43704212	0	0
Co_bin.176	0	0	0	156.79037	0.79607755	0	0	0
Co_bin.179	4.8194437	353.5393	2.7127712	0	0.57564443	0.24231805	4.344873	2.4145367
Co_bin.181	0	0	0	0	0	0.2927409	4.9288974	8.040705
Co_bin.186	0.27432743	0	0.228409	0	8.435092	0	3.241304	0.96291834
Co_bin.190	0	2.2457476	3.7544446	0	0	0	0	0
Co_bin.193	0	0	0	0	0.5300548	0.44294313	5.9112444	0
Co_bin.194	0	0	0	0	0	27.123777	0	0
Co_bin.195	5.654855	0.455514	0	0	0	0	0	0
Co_bin.199	0.45864323	3.004976	7.2594924	0.5147634	0.28319764	0	0	0
Co_bin.202	1.5326082	2.4228096	3.8879979	5.3509493	2.3730023	4.4588213	1.048835	0.2569203
Co_bin.203	0.22244479	0.56180084	2.8947933	6.999181	1.0382814	17.188025	3.7021883	0.21471147
Co_bin.204	1.4255654	0.18823533	0	0.19772117	0.13646322	7.395255	0.17962436	0
Co_bin.205	0	0	0	0	1.079229	3.6688106	0.6944325	0
Co_bin.206	0	0.27275366	0	0	0.25317758	1.1227596	2.7584312	2.9552011
Co_bin.209	0	0.29006395	0.75014985	0	0.7475334	7.0102563	2.9230096	0.42041656
Co_bin.211	5.224957	2.0224936	0.5293817	0.3236998	0.44688106	0.5567695	0	0
Co_bin.215	19.070835	0.3184536	0	0	0	0	0	0
Co_bin.216	5.6183906	2.6040933	0	0	0	0	0	0
Co_bin.220	2.312875	0.5266984	0.86481595	0	0.7734653	1.2078336	0.7120636	0
Co_bin.225	13.149294	0.7767413	0.69684446	0	0	0	0	0
Co_bin.226	11.887679	1.37747	2.8492272	0.90094805	0	0	0	0
Co_bin.228	0	1.0178626	0	0	0.80960673	2.269912	3.9839535	0
Co_bin.229	0	0	0	0	0.19097829	5.147428	0.92015696	0.15046276
Co_bin.231	2.3661132	20.843493	0.17100596	0	0	0	0	0
Co_bin.232	0.1826972	0	13.582048	2.858916	1.198478	0	0	0
Co_bin.233	0.18512338	54.5773	10.341561	19.76778	2.4544432	0	0.29718304	0
Co_bin.234	0	0	0	0.77063626	4.5093145	1.621429	0	0
Co_bin.236	0	0	13.646321	0.39802793	0	0	0	0
Co_bin.240	1.5047061	2.1218605	2.0439203	0	0.24930926	8.497156	4.576138	0
Co_bin.241	0.5129769	1.7212458	36.88141	1.4791886	3.4680455	2.3608918	0.7403699	1.0988649
Co_bin.244	0.5280868	3.1723888	5.707215	2.0393944	2.2422976	8.288965	1.4584296	0.8402034
Co_bin.245	0.9455113	1.4141012	0.9458738	1.6773537	0.29336786	0.78707725	0	0
Co_bin.246	0	0	0	0	9.039015	0	0.1803568	0
Co_bin.250	0.22071786	0.8301119	2.403157	1.012139	5.7043447	3.3162475	4.6678276	1.4955591
Co_bin.251	0	0.6331652	8.6491165	0	0	4.4463058	4.410886	0
Co_bin.252	0.55949175	5.474801	11.157792	2.3287358	6.1026187	4.883427	1.1758043	0.921774
Co_bin.259	7.3867006	1.569413	1.9819518	0	0	0.77168804	0	0
Co_bin.260	0	0	19.246262	0	0	0	0	0
Co_bin.261	4.8833585	0.8404225	3.1778805	0.9783426	0.8093305	5.301444	0.8090913	0
Co_bin.264	20.096325	0	0	0	0	0	0	0
Co_bin.265	0	0.17559494	1.346305	0.8851341	0.5477872	10.109655	0.6970198	0
Co_bin.267	1.0594566	0.8294111	5.461596	0.26213837	0.16501252	0.12264493	0	0
Co_bin.268	0	0	0.42238218	0	0.51720726	8.326712	5.728957	1.0251411
Co_bin.272	13.559378	7.516085	21.871452	55.415882	7.6133294	2.013848	4.4266057	5.514171
Co_bin.273	0.27327514	1.523875	2.2562933	0.7643928	1.8667747	2.982152	1.7500103	0.25757962
Co_bin.274	2.5899918	1.4572941	0.62860805	0	0.27934343	0.30381197	0	0
Co_bin.275	1.1392375	0	0	0	3.0556302	5.818936	0.3773174	0
Co_bin.276	0.15857032	0	15.741985	0	0	0.16624017	0	0
Co_bin.281	0.24308638	0.9680139	2.5996418	0.69255805	0.83726966	1.3561627	0.5472897	0
Co_bin.282	0	0	0	1.0088001	0	0.41069287	0	9.940136
Co_bin.286	0	11.224776	0.46118605	0	0	0	0	0
Co_bin.287	0	0	4.2582407	0	1.051579	0	0	0
Co_bin.288	0	1.6291056	14.491644	0	0.8093097	0.37788144	0.2573474	0
Co_bin.289	0.21001443	0.40994316	8.929115	1.8617854	3.781567	0.2842538	0	0
Co_bin.295	0	0	0.14689487	0	0.6826597	11.097061	0.27174705	0
Co_bin.296	0.22429341	5.065464	3.5081773	10.877155	167.33488	6.8643246	1.0913796	0.95346206
Co_bin.297	11.10214	0.25090498	0.91598356	0	0.36164668	18.828257	0	0
Co_bin.299	0.80018777	1.8074496	2.871769	0.20125684	0	0.44542646	0	0
Co_bin.302	7.500957	0	0	0	0	0	0	0
Co_bin.305	0.7180726	8.353595	2.1793973	0.8649184	0.5932307	1.8381857	0.5943464	0.25844792
Co_bin.306	0	0.17718658	0.5606939	0	0.8401353	6.486867	5.0686593	3.2286232
Co_bin.308	0	2.6655812	2.67432	1.7691575	0.5291318	0.2169025	0	0
Co_bin.309	0	0	0.38399675	0.15569514	0.2563095	0	0	7.441067
Co_bin.310	0.4871773	14.504487	27.909576	0	0.95176256	0.4644534	0.36994708	0
Co_bin.311	0	0.53930604	0.1416725	0	4.7578697	0	0.3604993	0
Co_bin.312	0	0.6427018	0.35205293	0	0	0.874495	4.3187647	0
Co_bin.314	0	0	0.74078417	0.41342524	6.1078653	7.88013	1.1180581	0.9640501
Co_bin.315	1.9686773	1.8310455	3.4855225	0.24930097	0.29580134	0.21858649	0	0
Co_bin.317	6.6554747	0.413271	0.26590213	0	0.2873924	0.5163458	0	0
Co_bin.322	0.3256537	5.929394	3.2967172	0.35819897	3.7492573	4.138924	0	0
Co_bin.324	0.9595994	2.134787	6.5354795	0.7845879	2.7538533	7.725877	2.8208942	0.31038323
Co_bin.327	0	0.32743007	0.718992	0	10.690507	0.42349297	0	0.28168204
Co_bin.328	1.256991	1.8142093	9.070072	0.78155535	0.98201823	3.238508	0.3691622	0
Co_bin.334	0.38766652	3.1938803	4.7796235	0.29365948	0	0	0	0
Co_bin.335	0.19040222	0.4841942	5.478902	0	0.18631716	1.5109268	0	0
Co_bin.337	0.410337	0.9539758	3.9733167	1.4279945	16.818197	1.2932656	0.43258056	0.6168455
Co_bin.338	2.4161575	2.9661467	2.582695	1.327739	0.20667571	0.22485575	0	0
Co_bin.340	0.8241154	4.7341495	1.9155847	0	0	0	0	0
Co_bin.341	0.24731043	0.5059729	1.0102074	0.8730007	8.496808	0.5831098	0.30394655	0.6373398
Co_bin.343	0	2.0769205	2.13119	0	0.5369117	0.32707387	0.3157132	0
Co_bin.344	2.2526991	0.48245358	6.6896663	0	3.7774053	4.704104	1.6608849	0
Co_bin.347	51.667408	2.185236	0	0	0	0	0	0
Co_bin.351	0	0	0	0	1.7177144	3.4127517	3.4142716	0.67003167
Co_bin.354	0.3938991	0.36291078	3.6684754	1.5777831	0.8314729	3.6937945	0	0
Co_bin.355	0	0	0.26954436	0	0	0.15542287	5.5465384	0.5736661
Co_bin.356	2.5617266	4.8828588	0	0	0	0	0	0
Co_bin.357	0.5597179	0.44000936	0.6859647	0	0.8573232	2.715401	2.6783419	2.2256284
Co_bin.358	2.6390736	20.41102	9.374988	1.0036913	0.6834237	7.272244	0.65268874	0
Co_bin.359	15.348043	14.046813	1.2521478	0	0	0	0	0
Co_bin.361	0	3.404487	0	0	0.308366	1.1569226	2.9119165	0.1539389
Co_bin.364	0	6.840185	1.3991798	1.4000981	0.2748562	0.52688724	0.9338571	10.283855
Co_bin.365	3.4329793	2.2033765	1.2686826	0.276704	0	5.4373665	0	0
Co_bin.367	0	0.24006	0	0	0	8.439451	0	0
Co_bin.368	2.4941177	0	0	3.9693468	0	0	0	0
Co_bin.371	2.1739156	20.669443	1.060871	0	0	0	0	0
Co_bin.373	0	1.1411159	3.9810925	0.98931885	0	0	0	0
Co_bin.374	0	0.33237374	0.96968836	0.60504675	2.5972245	6.0486445	0.2743575	0
Co_bin.375	0	0	0	0	0.32130274	5.0784955	2.2925212	3.3632503
Co_bin.377	3.6186094	1.3369349	0.8723662	0.6071201	0	2.0938754	0.26203263	0
Co_bin.379	0.33129394	1.3232096	0.5336729	3.4731288	2.3792417	0.55115956	0.38555714	0.12095885
Co_bin.381	0	8.413697	6.932475	1.907851	4.859242	9.588823	2.8695934	8.495689
Co_bin.382	0.14040682	1.9616355	0	0.24496855	0.25662786	0	6.163378	0
Co_bin.384	0	0	0.9030737	0.27821794	1.404481	9.415156	0.49791616	0
Co_bin.385	0	0	0.45301712	0.35275793	0.92417914	7.3174934	2.4106493	0
Co_bin.386	0.30163285	0.21788736	0	0	0	5.9886465	2.1347797	0
Co_bin.388	0	0	0	2.530433	3.1753368	0	0	0.18749154
Co_bin.389	0.40476742	3.4188352	0.4195661	0.77992177	0	0.24369715	1.5434519	0
Co_bin.393	0.90801847	1.0533208	1.6769832	1.4256283	0.9427612	12.280894	2.057089	0
