#mpa_vOct22_CHOCOPhlAnSGB_202212
#/home/jimshawster/miniconda3/envs/mpa4/bin/metaphlan ERR321526_1.fastq.gz,ERR321526_2.fastq.gz --bowtie2out ERR321526.bowtie2.bz2 --nproc 10 --input_type fastq -o ERR321526_metaphlan.txt
#5487938 reads processed
#SampleID	Metaphlan_Analysis
#clade_name	NCBI_tax_id	relative_abundance	additional_species
k__Bacteria	2	99.88726	
k__Archaea	2157	0.11274	
k__Bacteria|p__Firmicutes	2|1239	51.96047	
k__Bacteria|p__Bacteroidetes	2|976	27.44001	
k__Bacteria|p__Proteobacteria	2|1224	14.02826	
k__Bacteria|p__Tenericutes	2|544448	4.94847	
k__Bacteria|p__Actinobacteria	2|201174	1.12477	
k__Bacteria|p__Verrucomicrobia	2|74201	0.356	
k__Archaea|p__Thaumarchaeota	2157|651137	0.06361	
k__Archaea|p__Euryarchaeota	2157|28890	0.04913	
k__Bacteria|p__Bacteria_unclassified	2|	0.02929	
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	32.2593	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	26.81558	
k__Bacteria|p__Tenericutes|c__CFGB4862	2|544448|	4.94847	
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	4.40502	
k__Bacteria|p__Firmicutes|c__CFGB4806	2|1239|	3.87546	
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	3.35761	
k__Bacteria|p__Firmicutes|c__CFGB38642	2|1239|	3.02748	
k__Bacteria|p__Firmicutes|c__CFGB1798	2|1239|	1.87926	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	1.05948	
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	2|1224|28211	0.69786	
k__Bacteria|p__Bacteroidetes|c__CFGB602	2|976|	0.62443	
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	0.56927	
k__Bacteria|p__Firmicutes|c__CFGB1800	2|1239|	0.56796	
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	0.49917	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	0.47584	
k__Bacteria|p__Firmicutes|c__CFGB76783	2|1239|	0.44814	
k__Bacteria|p__Firmicutes|c__CFGB2932	2|1239|	0.3678	
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	2|74201|203494	0.356	
k__Bacteria|p__Firmicutes|c__CFGB76465	2|1239|	0.27666	
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	0.17353	
k__Bacteria|p__Firmicutes|c__CFGB1359	2|1239|	0.17079	
k__Bacteria|p__Firmicutes|c__CFGB75721	2|1239|	0.10186	
k__Bacteria|p__Firmicutes|c__CFGB3068	2|1239|	0.07237	
k__Bacteria|p__Firmicutes|c__CFGB2982	2|1239|	0.07066	
k__Bacteria|p__Firmicutes|c__CFGB2881	2|1239|	0.06858	
k__Archaea|p__Thaumarchaeota|c__Thaumarchaeota_unclassified	2157|651137|	0.06361	
k__Bacteria|p__Firmicutes|c__CFGB1211	2|1239|	0.06216	
k__Archaea|p__Euryarchaeota|c__Methanobacteria	2157|28890|183925	0.04913	
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2|1224|28221	0.04887	
k__Bacteria|p__Firmicutes|c__CFGB2954	2|1239|	0.04542	
k__Bacteria|p__Firmicutes|c__CFGB1226	2|1239|	0.03703	
k__Bacteria|p__Actinobacteria|c__CFGB2992	2|201174|	0.02929	
k__Bacteria|p__Firmicutes|c__CFGB2918	2|1239|	0.01992	
k__Bacteria|p__Firmicutes|c__CFGB1292	2|1239|	0.01948	
k__Bacteria|p__Firmicutes|c__CFGB2840	2|1239|	0.01941	
k__Bacteria|p__Firmicutes|c__CFGB2985	2|1239|	0.01796	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	0.0151	
k__Bacteria|p__Firmicutes|c__CFGB1260	2|1239|	0.00966	
k__Bacteria|p__Firmicutes|c__CFGB4559	2|1239|	0.00634	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales	2|1239|186801|186802	31.48645	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	26.81558	
k__Bacteria|p__Tenericutes|c__CFGB4862|o__OFGB4862	2|544448||	4.94847	
k__Bacteria|p__Firmicutes|c__CFGB4806|o__OFGB4806	2|1239||	3.87546	
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	3.84721	
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales	2|1239|909932|1843489	3.34056	
k__Bacteria|p__Firmicutes|c__CFGB38642|o__OFGB38642	2|1239||	3.02748	
k__Bacteria|p__Firmicutes|c__CFGB1798|o__OFGB1798	2|1239||	1.87926	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	2|1224|28216|80840	1.05948	
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales	2|1224|28211|204455	0.69786	
k__Bacteria|p__Bacteroidetes|c__CFGB602|o__OFGB602	2|976||	0.62443	
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	2|1239|526524|526525	0.56927	
k__Bacteria|p__Firmicutes|c__CFGB1800|o__OFGB1800	2|1239||	0.56796	
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	2|1239|91061|1385	0.55781	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	2|1239|186801|186802	0.51128	
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales	2|201174|1760|85004	0.49917	
k__Bacteria|p__Firmicutes|c__CFGB76783|o__OFGB76783	2|1239||	0.44814	
k__Bacteria|p__Firmicutes|c__CFGB2932|o__OFGB2932	2|1239||	0.3678	
