#mpa_vOct22_CHOCOPhlAnSGB_202212
#/home/jshaw/miniforge3/envs/mpa4/bin/metaphlan SRR24442555_1.fastq.gz,SRR24442555_2.fastq.gz --bowtie2out SRR24442555.bowtie2.bz2 --nproc 50 --input_type fastq --unclassified_estimation -x mpa_vOct22_CHOCOPhlAnSGB_202212 -o SRR24442555_metaphlan.txt
#84734496 reads processed
#SampleID	Metaphlan_Analysis
#clade_name	NCBI_tax_id	relative_abundance	additional_species
UNCLASSIFIED	-1	84.20799	
k__Bacteria	2	15.79201393344825	
k__Bacteria|p__Proteobacteria	2|1224	12.044540601415898	
k__Bacteria|p__Bacteroidetes	2|976	1.9263982948800447	
k__Bacteria|p__Actinobacteria	2|201174	1.4754415449964964	
k__Bacteria|p__Firmicutes	2|1239	0.19420544974936654	
k__Bacteria|p__Planctomycetes	2|203682	0.15142804240644192	
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	2|1224|28211	11.660316164810922	
k__Bacteria|p__Actinobacteria|c__Acidimicrobiia	2|201174|84992	1.4659473862197074	
k__Bacteria|p__Bacteroidetes|c__Cytophagia	2|976|768503	1.4252624207229645	
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia	2|976|117743	0.4875547421743145	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	0.2743293908435029	
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	0.19420544974936654	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	0.09712088569070673	
k__Bacteria|p__Planctomycetes|c__CFGB41773	2|203682|	0.09223957418387788	
k__Bacteria|p__Planctomycetes|c__Planctomycetia	2|203682|203683	0.05918688902117069	
k__Bacteria|p__Bacteroidetes|c__Saprospiria	2|976|1937959	0.013581131982765492	
k__Bacteria|p__Actinobacteria|c__Thermoleophilia	2|201174|1497346	0.009494158776789087	
k__Bacteria|p__Proteobacteria|c__CFGB76190	2|1224|	0.007572270681088435	
k__Bacteria|p__Proteobacteria|c__CFGB2312	2|1224|	0.0037363904966538557	
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales	2|1224|28211|204455	11.514105803808091	
k__Bacteria|p__Actinobacteria|c__Acidimicrobiia|o__Acidimicrobiales	2|201174|84992|84993	1.4659473862197074	
k__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales	2|976|768503|768507	1.4252624207229645	
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales	2|976|117743|200644	0.4875547421743145	
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	0.19420544974936654	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Cellvibrionales	2|1224|1236|1706369	0.16528079702886272	
