Genome	SRR1765182_1.fastq.gz Mean
GCA_900755095.1_genomic	0.053402323
GCF_003697165.2_genomic	0.10429168
GCF_000296465.1_genomic	0.047554336
GCF_003818115.1_genomic	0.14270145
GCF_001598695.1_genomic	0.026950836
GCF_002234575.2_genomic	0.067648
GCF_001717505.1_genomic	0.073957376
GCF_000191405.1_genomic	0.47953734
GCF_000011065.1_genomic	0.13180898
GCF_000742135.1_genomic	0.1729048
GCF_000210075.1_genomic	0.05257685
GCF_000025985.1_genomic	0.5462329
GCF_020687245.1_genomic	0.09081667
GCF_002222615.2_genomic	0.047142718
GCF_000012825.1_genomic	0.18575552
