Genome	SRR528337_1.fastq.gz Mean
GCA_900544025.1_genomic	0.059489295
GCF_003477605.1_genomic	0.2308217
GCA_900757655.1_genomic	1.1954073
GCF_000160055.1_genomic	0.31889853
GCA_003480725.1_genomic	0.21512264
GCA_000020605.1_genomic	0.3252076
GCF_000265365.1_genomic	0.5005789
GCF_000723465.1_genomic	23.249762
GCF_003287405.1_genomic	1.0935539
GCA_000437755.1_genomic	0.44675088
GCF_019967995.1_genomic	0.35698316
GCA_004000625.1_genomic	0.08909129
GCA_905209085.1_genomic	0.050951596
GCA_900550685.1_genomic	0.16100605
GCF_023347535.1_genomic	0.5584159
GCF_018408575.1_genomic	0.42201912
GCA_000435595.1_genomic	2.705544
GCA_900546265.1_genomic	0.121639155
GCA_900755865.1_genomic	0.17635669
GCA_900542735.1_genomic	0.6400625
GCA_001916965.1_genomic	0.6737831
GCA_902363665.1_genomic	0.2231231
GCA_900759955.1_genomic	0.047832843
GCA_025147325.1_genomic	4.26077
GCF_000235885.1_genomic	24.920052
GCA_003526845.1_genomic	0.7704503
GCA_003531585.1_genomic	0.7177297
GCF_003481705.1_genomic	0.24578573
GCA_003490145.1_genomic	0.26988995
GCA_900546315.1_genomic	0.10176421
GCA_900764105.1_genomic	0.06357058
GCA_001312505.1_genomic	0.16056235
GCF_000225345.1_genomic	1.0032369
GCF_004134775.1_genomic	0.109786436
GCF_014287955.1_genomic	0.72242445
GCA_900553635.1_genomic	0.09610117
GCA_900539945.1_genomic	0.2033729
GCA_000436475.1_genomic	1.2589511
GCA_900548465.1_genomic	0.30267143
GCA_003486385.1_genomic	2.065668
GCF_018847375.1_genomic	0.15508397
GCF_013304735.1_genomic	0.2739391
GCF_020687205.1_genomic	0.4797231
GCA_025144995.1_genomic	0.035703
GCF_000765235.1_genomic	3.217351
GCF_000382445.1_genomic	3.2239954
GCF_023347235.1_genomic	1.0951973
GCF_001314995.1_genomic	7.3769436
GCA_900547465.1_genomic	0.07097087
GCF_000011065.1_genomic	1.0168648
GCF_000701705.1_genomic	0.09031891
GCA_025147485.1_genomic	1.3876219
GCF_009680455.1_genomic	1.0293319
GCF_014297285.1_genomic	0.53996444
GCA_900759845.1_genomic	0.30566508
GCA_018376535.1_genomic	0.12968911
GCA_003507655.1_genomic	0.65340257
GCF_023347275.1_genomic	0.25893125
GCA_000432435.1_genomic	0.055740505
GCA_900542115.1_genomic	0.19638807
GCA_900545865.1_genomic	0.10024918
GCF_000210075.1_genomic	4.1413937
GCA_900544255.1_genomic	0.5613661
GCA_905193085.1_genomic	0.05146025
GCA_003460745.1_genomic	0.06750568
GCF_013009555.1_genomic	42.523575
GCF_003461245.1_genomic	0.22329812
GCA_025152405.1_genomic	0.24684897
GCA_900540255.1_genomic	0.12228445
GCF_020687245.1_genomic	0.23740593
GCA_900756155.1_genomic	0.0927237
GCF_014337155.1_genomic	0.8228338
GCF_020564355.1_genomic	0.2263014
GCA_900544435.1_genomic	0.08244017
GCA_900547385.1_genomic	0.106244676
