Genome	SRR8427965_1.fastq.gz Mean
GCF_018499505.1_genomic	0.121404104
GCF_001070855.1_genomic	0.20497987
GCF_000024265.1_genomic	0.48630768
GCF_002959915.1_genomic	0.43531752
GCF_001729745.1_genomic	0.43882114
GCF_010120595.1_genomic	0.13847272
GCF_902810435.1_genomic	1.2159092
GCF_000239295.1_genomic	0.11816036
GCF_003697165.2_genomic	81.36305
GCF_000165735.1_genomic	4.663845
GCF_000196555.1_genomic	32.25694
GCA_001838165.1_genomic	0.26012707
GCF_008121495.1_genomic	0.27960116
GCF_013393365.1_genomic	0.35165623
GCF_000392875.1_genomic	0.06428262
GCF_000829035.1_genomic	0.09058566
GCF_001598695.1_genomic	23.071861
GCF_000269965.1_genomic	69.17258
GCF_011064845.1_genomic	0.30791327
GCF_002042885.1_genomic	0.22638915
GCF_000175615.1_genomic	0.25984406
GCF_000406965.1_genomic	0.06966952
GCF_000271405.2_genomic	0.43291786
GCF_000025985.1_genomic	0.038293775
