Genome	SRR1214319_1.fastq.gz Mean
GCA_900755095.1_genomic	3.889275
GCF_003425665.1_genomic	0.3995895
GCF_003478035.1_genomic	0.52064276
GCF_000012845.1_genomic	3.7469454
GCF_005121165.3_genomic	1.1583633
GCF_900167555.1_genomic	0.8129284
GCF_015557635.1_genomic	0.60673684
GCF_000160055.1_genomic	6.110768
GCA_000020605.1_genomic	1.6319066
GCA_025150745.1_genomic	1.6090677
GCF_900106755.1_genomic	1.0062995
GCF_000265365.1_genomic	0.19604461
GCF_018408705.1_genomic	0.2594785
GCA_004000625.1_genomic	0.75531435
GCA_001917125.1_genomic	5.0353127
GCF_003435375.1_genomic	0.514162
GCF_009883055.1_genomic	0.43687314
GCF_001025215.1_genomic	9.295648
GCA_900751995.1_genomic	0.4483105
GCA_000437595.1_genomic	10.501296
GCF_000332875.2_genomic	1.6229583
GCA_900543625.1_genomic	2.6793458
GCF_019429565.1_genomic	0.0708779
GCF_003584685.1_genomic	6.2088985
GCA_020555865.1_genomic	0.26059482
GCF_010120595.1_genomic	1.0362173
GCF_902810435.1_genomic	0.82727975
GCF_000297775.1_genomic	1.030981
GCF_003479805.1_genomic	0.18658876
GCF_000016825.1_genomic	0.27025288
GCF_018918025.1_genomic	0.45841762
GCA_003481775.1_genomic	0.1702467
GCA_025148125.1_genomic	0.9072264
GCF_000158035.1_genomic	4.2449055
GCF_023347535.1_genomic	1.7388995
GCA_014385265.1_genomic	0.1598844
GCF_000010425.1_genomic	4.751716
GCF_018408575.1_genomic	2.4360812
GCF_000239295.1_genomic	0.2193453
GCA_902362775.1_genomic	0.29372683
GCF_000205025.1_genomic	0.074701905
GCF_012843875.1_genomic	0.18004598
GCA_000432135.1_genomic	3.5553203
GCF_003697165.2_genomic	0.27890643
GCA_905202115.1_genomic	2.630491
GCF_000381365.1_genomic	0.9627605
GCA_025147325.1_genomic	15.237473
GCA_018228645.1_genomic	0.3476769
GCA_025147765.1_genomic	0.88611835
GCF_001544255.1_genomic	0.05261761
GCF_003416765.1_genomic	0.21330264
GCF_000190535.1_genomic	0.39109632
GCF_014287875.1_genomic	0.8751718
GCF_943193075.1_genomic	1.0336964
GCF_003287495.1_genomic	23.29984
GCA_025148635.1_genomic	0.14226599
GCF_001435955.1_genomic	2.5155284
GCF_000196555.1_genomic	8.949074
GCF_001487165.1_genomic	0.7881912
GCA_003096535.1_genomic	0.5659145
GCF_003024685.1_genomic	1.9260026
GCA_025149785.1_genomic	1.4345347
GCA_025146565.1_genomic	8.232777
GCA_019419555.1_genomic	2.4879224
GCA_021029595.1_genomic	2.7202382
GCF_000146325.1_genomic	0.069328144
GCF_013304735.1_genomic	1.1890175
GCA_900546685.1_genomic	0.124829635
GCF_000785515.1_genomic	4.083825
GCA_025150245.1_genomic	0.45675647
GCF_000741215.1_genomic	1.7919569
GCF_900099625.1_genomic	0.0742269
GCF_001433875.1_genomic	0.23751616
GCF_001717505.1_genomic	1.176604
GCF_024168045.1_genomic	0.98122495
GCA_900542445.1_genomic	0.34847122
GCA_019410105.1_genomic	0.16676484
GCF_000210055.1_genomic	0.067983285
GCA_902363045.1_genomic	0.5461512
GCF_001314995.1_genomic	4.790321
GCF_016648855.1_genomic	1.0447308
GCA_025149125.1_genomic	0.24483007
GCF_000173975.1_genomic	0.88639456
GCF_000191405.1_genomic	0.4722942
GCF_000011065.1_genomic	0.94930893
GCF_000701705.1_genomic	0.062827475
GCA_001304995.1_genomic	1.4393034
GCA_025147485.1_genomic	2.3937702
GCF_020554845.1_genomic	0.547938
GCA_025151215.1_genomic	7.370088
GCF_014297285.1_genomic	1.9263932
GCA_003507655.1_genomic	0.10794396
GCF_023347275.1_genomic	2.439642
GCA_000432435.1_genomic	7.319169
GCF_001815355.1_genomic	0.57119405
GCA_025145845.1_genomic	0.9321438
GCA_905206455.1_genomic	0.06702673
GCF_003024715.1_genomic	0.8045122
GCF_013394085.1_genomic	1.9019961
GCF_006542665.1_genomic	0.8752683
GCA_003447235.1_genomic	19.641134
GCF_000153925.1_genomic	0.788479
GCA_003478935.1_genomic	0.6168944
GCA_900538475.1_genomic	0.14011274
GCF_009738225.1_genomic	3.52338
GCF_000154465.1_genomic	2.6170151
GCA_001917135.1_genomic	1.9581605
GCF_000406965.1_genomic	0.19989556
GCF_013009555.1_genomic	2.800028
GCA_003584705.1_genomic	1.2929751
GCF_009696065.1_genomic	1.1938875
GCF_003324185.1_genomic	2.5075972
GCA_900761965.1_genomic	0.16106553
GCA_900066355.1_genomic	0.53876054
GCF_014334015.1_genomic	2.555813
GCF_020687245.1_genomic	1.7694496
GCF_002222615.2_genomic	0.7832487
GCF_900104615.1_genomic	0.07296732
GCF_000012825.1_genomic	2.3990376
