#mpa_vOct22_CHOCOPhlAnSGB_202212
#/home/jimshawster/miniconda3/envs/mpa4/bin/metaphlan SRR6075232_1.fastq.gz,SRR6075232_2.fastq.gz --bowtie2out SRR6075232.bowtie2.bz2 --nproc 10 --input_type fastq -o SRR6075232_metaphlan.txt
#73852358 reads processed
#SampleID	Metaphlan_Analysis
#clade_name	NCBI_tax_id	relative_abundance	additional_species
k__Bacteria	2	99.94837	
k__Archaea	2157	0.05163	
k__Bacteria|p__Bacteroidetes	2|976	52.17869	
k__Bacteria|p__Firmicutes	2|1239	44.96488	
k__Bacteria|p__Proteobacteria	2|1224	2.27146	
k__Bacteria|p__Actinobacteria	2|201174	0.2686	
k__Bacteria|p__Candidatus_Melainabacteria	2|1798710	0.12679	
k__Bacteria|p__Tenericutes	2|544448	0.11935	
k__Archaea|p__Thaumarchaeota	2157|651137	0.05163	
k__Bacteria|p__Verrucomicrobia	2|74201	0.01743	
k__Bacteria|p__Candidatus_Saccharibacteria	2|95818	0.00116	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	51.96086	
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	36.4407	
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	2.69971	
k__Bacteria|p__Firmicutes|c__CFGB76783	2|1239|	1.4521	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	1.39678	
k__Bacteria|p__Firmicutes|c__CFGB38642	2|1239|	0.82755	
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	0.73702	
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2|1224|28221	0.72341	
k__Bacteria|p__Firmicutes|c__CFGB9120	2|1239|	0.57691	
k__Bacteria|p__Firmicutes|c__CFGB2982	2|1239|	0.42006	
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	0.39439	
k__Bacteria|p__Firmicutes|c__CFGB1422	2|1239|	0.30799	
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	0.25934	
k__Bacteria|p__Firmicutes|c__CFGB14936	2|1239|	0.21196	
k__Bacteria|p__Firmicutes|c__CFGB13380	2|1239|	0.19421	
k__Bacteria|p__Firmicutes|c__CFGB32970	2|1239|	0.17584	
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	0.16308	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	0.15127	
k__Bacteria|p__Bacteroidetes|c__CFGB76189	2|976|	0.14854	
k__Bacteria|p__Bacteroidetes|c__CFGB2107	2|976|	0.12679	
k__Bacteria|p__Tenericutes|c__CFGB1779	2|544448|	0.11935	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	0.10461	
k__Bacteria|p__Firmicutes|c__CFGB2954	2|1239|	0.08315	
k__Bacteria|p__Bacteroidetes|c__CFGB529	2|976|	0.06929	
k__Archaea|p__Thaumarchaeota|c__Thaumarchaeota_unclassified	2157|651137|	0.05163	
k__Bacteria|p__Firmicutes|c__CFGB1359	2|1239|	0.02437	
k__Bacteria|p__Firmicutes|c__CFGB1011	2|1239|	0.02035	
k__Bacteria|p__Firmicutes|c__CFGB1507	2|1239|	0.01808	
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	2|74201|203494	0.01743	
k__Bacteria|p__Firmicutes|c__CFGB9718	2|1239|	0.0122	
k__Bacteria|p__Firmicutes|c__CFGB3047	2|1239|	0.01177	
k__Bacteria|p__Firmicutes|c__CFGB1311	2|1239|	0.00853	
k__Bacteria|p__Firmicutes|c__CFGB1126	2|1239|	0.0078	
k__Bacteria|p__Firmicutes|c__CFGB3048	2|1239|	0.00634	
k__Bacteria|p__Firmicutes|c__CFGB3068	2|1239|	0.00528	
