Genome	SRR1569915_1.fastq.gz Mean
GCA_900541575.1_genomic	2.7090247
GCA_900755095.1_genomic	0.5058918
GCF_000012845.1_genomic	0.13824409
GCA_900544615.1_genomic	0.21811803
GCA_900757655.1_genomic	0.91135347
GCA_022009815.1_genomic	6.0980062
GCF_000160055.1_genomic	3.6236432
GCF_002959775.1_genomic	0.10047848
GCA_000020605.1_genomic	0.30687702
GCF_000265365.1_genomic	0.124069616
GCA_025145645.1_genomic	0.10614542
GCF_900128485.1_genomic	1.1000465
GCA_927911595.1_genomic	0.64394695
GCF_902810435.1_genomic	0.0757525
GCF_000010425.1_genomic	0.04440403
GCF_000577815.1_genomic	0.1523793
GCA_003514385.1_genomic	0.36867425
GCA_000435975.1_genomic	0.32961616
GCA_000436335.1_genomic	0.1243256
GCA_025147325.1_genomic	1.2271025
GCA_025147765.1_genomic	0.15341061
GCF_000235885.1_genomic	14.767016
GCF_000296465.1_genomic	0.26684502
GCF_024499055.1_genomic	0.037937883
GCF_000190535.1_genomic	0.20356828
GCA_025148635.1_genomic	0.05521219
GCF_000225345.1_genomic	0.16317207
GCA_000436835.1_genomic	0.28000507
GCA_000436475.1_genomic	0.38341263
GCA_003447295.1_genomic	0.03622464
GCF_000765235.1_genomic	1.9716113
GCA_000434215.1_genomic	0.10275282
GCA_025150245.1_genomic	0.12030535
GCA_934255515.1_genomic	0.5342961
GCF_003315195.1_genomic	0.1536586
GCA_900551385.1_genomic	0.15101121
GCA_025151535.1_genomic	19.067783
GCF_001314995.1_genomic	0.58269167
GCF_000011065.1_genomic	0.90945876
GCF_000233955.1_genomic	1.043174
GCA_025147485.1_genomic	1.3486986
GCF_009680455.1_genomic	1.0152245
GCA_025151215.1_genomic	2.460631
GCF_014297285.1_genomic	0.3042128
GCF_023347275.1_genomic	0.17458932
GCA_000432435.1_genomic	0.24627703
GCA_025145845.1_genomic	0.27637953
GCF_000157915.1_genomic	0.7813814
GCA_900542115.1_genomic	0.10555941
GCF_000156195.1_genomic	0.36254093
GCA_000435555.1_genomic	0.10379233
GCF_006542665.1_genomic	0.20345287
GCF_000210075.1_genomic	1.3363818
GCA_003478935.1_genomic	0.4456496
GCA_900761155.1_genomic	0.1452624
GCF_000154465.1_genomic	0.48681065
GCF_014647335.1_genomic	0.42138243
GCA_003460745.1_genomic	0.23837103
GCF_013009555.1_genomic	1.2612036
GCA_003584705.1_genomic	0.17476483
GCF_003324185.1_genomic	0.17260212
GCA_900555435.1_genomic	0.061071355
GCA_900540595.1_genomic	0.069544874
GCF_000174195.1_genomic	0.260455
GCF_009676955.1_genomic	0.32742208
GCA_000433735.1_genomic	0.03667851
GCF_003464165.1_genomic	0.9187537
GCF_009695995.1_genomic	0.07061563
GCF_001404675.1_genomic	0.112857826
GCF_000012825.1_genomic	7.020309
