Genome	SRR8353774_1.fastq.gz Mean
GCF_000180035.1_genomic	0.21510893
GCF_000225705.1_genomic	29.995556
GCF_022819345.1_genomic	0.05796169
GCF_024622975.1_genomic	1.3493309
GCF_001070855.1_genomic	0.11017297
GCF_900447045.1_genomic	0.20412914
GCF_000158275.2_genomic	0.2872418
GCF_000024265.1_genomic	5.4305296
GCF_900456775.1_genomic	0.33858493
GCF_002959915.1_genomic	0.3076733
GCA_025148965.1_genomic	0.3282741
GCF_000227295.1_genomic	0.058923345
GCF_019429565.1_genomic	0.105529025
GCF_010120595.1_genomic	0.54447037
GCF_902810435.1_genomic	6.1705904
GCA_003481775.1_genomic	6.0527506
GCA_025148125.1_genomic	62.36668
GCA_900766125.1_genomic	0.5227125
GCF_014131695.1_genomic	0.18872908
GCA_014385265.1_genomic	3.8111315
GCF_000577815.1_genomic	0.04667384
GCF_000239295.1_genomic	0.5293769
GCF_003697165.2_genomic	94.44256
GCF_001544095.1_genomic	0.04018493
GCA_025147325.1_genomic	0.2579355
GCF_000278725.1_genomic	0.13442071
GCA_900541485.1_genomic	0.3361926
GCF_943193075.1_genomic	0.2559299
GCF_004346095.1_genomic	9.291337
GCF_000165735.1_genomic	0.2732835
GCF_001042595.1_genomic	3.9956255
GCF_002222595.2_genomic	1.4322691
GCF_022133705.1_genomic	0.09122508
GCF_008121495.1_genomic	26.376709
GCA_000432335.1_genomic	0.28647074
GCF_000392875.1_genomic	0.22727677
GCF_001598695.1_genomic	2.231875
GCA_902373545.1_genomic	0.08508729
GCF_900104635.1_genomic	16.319544
GCA_900556745.1_genomic	0.35140318
GCF_900106845.1_genomic	0.28234628
GCF_000785515.1_genomic	1.1363846
GCF_003182075.1_genomic	0.05723594
GCF_900461125.1_genomic	1.6619282
GCA_900557165.1_genomic	0.15635839
GCF_001546855.1_genomic	30.840961
GCA_018375675.1_genomic	0.14697613
GCF_002075345.1_genomic	2.0625348
GCF_001517625.2_genomic	3.6467083
GCF_001458595.1_genomic	0.3186479
GCA_000411415.1_genomic	0.08862615
GCA_025151215.1_genomic	1.7269317
GCF_901873445.1_genomic	0.06163717
GCF_000742135.1_genomic	2.6288028
GCF_001077535.1_genomic	0.121030554
GCF_009717815.1_genomic	0.25904244
GCF_900475675.1_genomic	2.5868664
GCF_000153925.1_genomic	1.1606982
GCF_000160755.1_genomic	0.12354342
GCA_018373675.1_genomic	12.7551
GCA_003460745.1_genomic	0.95706093
GCF_900106515.1_genomic	0.17139183
GCF_000174195.1_genomic	4.0791965
GCF_014467075.1_genomic	0.42756453
GCF_000222785.1_genomic	0.17234387
GCF_000012825.1_genomic	3.2879121
