Genome	ERR1137151_1.fastq.gz Mean
GCF_003478035.1_genomic	0.6632676
GCF_003122485.1_genomic	0.61563516
GCF_000012845.1_genomic	1.0179077
GCF_002549775.1_genomic	2.5646172
GCA_934162325.1_genomic	4.2847943
GCF_003478505.1_genomic	0.5008498
GCF_005121165.3_genomic	0.5838282
GCF_003477605.1_genomic	3.2572973
GCF_001404655.1_genomic	7.587393
GCA_900544615.1_genomic	0.46057987
GCF_002834235.1_genomic	11.806999
GCA_002404795.1_genomic	0.35896587
GCF_900167555.1_genomic	2.0480895
GCA_900757655.1_genomic	0.9320792
GCF_001025195.1_genomic	4.699814
GCA_025144665.1_genomic	0.07340141
GCF_015557635.1_genomic	7.875658
GCA_003480725.1_genomic	0.8769381
GCF_010669225.1_genomic	4.2666693
GCA_000020605.1_genomic	26.597218
GCA_900542245.1_genomic	0.17974727
GCA_900553545.1_genomic	0.52621186
GCA_000980705.1_genomic	0.46767515
GCA_025150745.1_genomic	1.2843246
GCF_000265365.1_genomic	0.97424644
GCF_000723465.1_genomic	27.204422
GCF_023921805.1_genomic	2.0636885
GCA_905215425.1_genomic	0.14864756
GCF_018408705.1_genomic	0.22433238
GCA_904419295.1_genomic	0.056101494
GCA_004000625.1_genomic	9.775864
GCA_000803105.1_genomic	0.23320654
GCA_025145285.1_genomic	0.59546614
GCA_003112755.1_genomic	0.17063394
GCF_003435375.1_genomic	1.1960548
GCF_000172175.1_genomic	0.2924803
GCA_000432155.1_genomic	0.39486337
GCA_018223385.1_genomic	0.3260915
GCF_018918345.1_genomic	1.471839
GCF_900155365.1_genomic	1.288088
GCA_900549405.1_genomic	0.13903871
GCF_900128485.1_genomic	2.810136
GCA_025148965.1_genomic	0.4734001
GCA_000437595.1_genomic	4.6005034
GCA_934663595.1_genomic	0.15571623
GCF_000332875.2_genomic	3.38669
GCA_900556625.1_genomic	0.5107245
GCA_003343815.1_genomic	0.2912047
GCF_014287815.1_genomic	0.6316319
GCA_905193155.1_genomic	0.59600174
GCA_000435835.1_genomic	1.6811254
GCA_900752305.1_genomic	1.2065617
GCF_000156655.1_genomic	5.7559996
GCA_020555865.1_genomic	0.09309974
GCF_009557455.1_genomic	0.21973217
GCF_900120195.1_genomic	0.64516973
GCF_018918025.1_genomic	0.61761284
GCA_025148125.1_genomic	3.6890416
GCF_011405655.1_genomic	0.11671195
GCF_000158035.1_genomic	0.054547038
GCF_900199375.1_genomic	0.06255801
GCA_003516765.1_genomic	0.7940767
GCA_003481745.1_genomic	1.4013078
GCF_003461955.1_genomic	2.372919
GCA_900756575.1_genomic	0.13727976
GCF_000010425.1_genomic	7.2764993
GCF_900537995.1_genomic	4.9132295
GCF_018408575.1_genomic	0.8245282
GCA_025150085.1_genomic	7.0542345
GCA_002314265.1_genomic	0.2762353
GCA_000432375.1_genomic	1.2358718
GCA_900545705.1_genomic	0.09571351
GCA_900552475.1_genomic	0.17807452
GCA_003514385.1_genomic	0.7854345
GCF_003478335.1_genomic	2.2033913
GCF_000469345.1_genomic	0.6074657
GCF_000239295.1_genomic	0.103270926
GCA_902362775.1_genomic	0.3254945
