#mpa_vOct22_CHOCOPhlAnSGB_202212
#/home/jshaw/miniforge3/envs/mpa4/bin/metaphlan --input_type fastq ERR7745346_1.fastq.gz,ERR7745346_2.fastq.gz --nproc 40 --bowtie2out hadza_bowtie_22.bt2 -x mpa_vOct22_CHOCOPhlAnSGB_202212 -o metaphlan_results_22.tsv
#600679836 reads processed
#SampleID	Metaphlan_Analysis
#clade_name	NCBI_tax_id	relative_abundance	additional_species
k__Bacteria	2	99.99389	
k__Archaea	2157	0.00611	
k__Bacteria|p__Firmicutes	2|1239	62.63049	
k__Bacteria|p__Bacteroidetes	2|976	28.99417	
k__Bacteria|p__Candidatus_Melainabacteria	2|1798710	3.66401	
k__Bacteria|p__Proteobacteria	2|1224	2.84206	
k__Bacteria|p__Lentisphaerae	2|256845	1.24026	
k__Bacteria|p__Actinobacteria	2|201174	0.54182	
k__Bacteria|p__Tenericutes	2|544448	0.06552	
k__Bacteria|p__Fusobacteria	2|32066	0.01406	
k__Archaea|p__Thaumarchaeota	2157|651137	0.00611	
k__Bacteria|p__Acidobacteria	2|57723	0.00087	
k__Bacteria|p__Candidatus_Saccharibacteria	2|95818	0.00031	
k__Bacteria|p__Deinococcus_Thermus	2|1297	0.00031	
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	31.63895	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	26.00311	
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	8.87081	
k__Bacteria|p__Firmicutes|c__CFGB31455	2|1239|	4.59214	
k__Bacteria|p__Bacteroidetes|c__CFGB11479	2|976|	2.95829	
k__Bacteria|p__Candidatus_Melainabacteria|c__CFGB2104	2|1798710|	2.71519	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	1.68954	
k__Bacteria|p__Firmicutes|c__CFGB73103	2|1239|	1.49407	
k__Bacteria|p__Lentisphaerae|c__Lentisphaeria	2|256845|1313211	1.24026	
k__Bacteria|p__Firmicutes|c__CFGB76357	2|1239|	1.03525	
k__Bacteria|p__Firmicutes|c__CFGB2863	2|1239|	0.64471	
k__Bacteria|p__Firmicutes|c__CFGB1479	2|1239|	0.61384	
k__Bacteria|p__Firmicutes|c__CFGB10314	2|1239|	0.61202	
k__Bacteria|p__Candidatus_Melainabacteria|c__CFGB47068	2|1798710|	0.57483	
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2|1224|28221	0.55738	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	0.49728	
k__Bacteria|p__Firmicutes|c__CFGB31626	2|1239|	0.47671	
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	0.45501	
k__Bacteria|p__Firmicutes|c__CFGB72924	2|1239|	0.4383	
k__Bacteria|p__Firmicutes|c__CFGB38642	2|1239|	0.41616	
k__Bacteria|p__Firmicutes|c__CFGB2982	2|1239|	0.41506	
k__Bacteria|p__Firmicutes|c__CFGB8294	2|1239|	0.41051	
k__Bacteria|p__Bacteroidetes|c__CFGB2107	2|976|	0.374	
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	0.36578	
k__Bacteria|p__Firmicutes|c__CFGB1763	2|1239|	0.34044	
k__Bacteria|p__Firmicutes|c__CFGB3026	2|1239|	0.29451	
k__Bacteria|p__Firmicutes|c__CFGB3039	2|1239|	0.25146	
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	0.25063	
k__Bacteria|p__Proteobacteria|c__CFGB3069	2|1224|	0.22386	
k__Bacteria|p__Firmicutes|c__CFGB9989	2|1239|	0.21715	
k__Bacteria|p__Firmicutes|c__CFGB15209	2|1239|	0.17971	
k__Bacteria|p__Firmicutes|c__CFGB1285	2|1239|	0.17733	
k__Bacteria|p__Firmicutes|c__CFGB1320	2|1239|	0.17632	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	0.17508	
k__Bacteria|p__Firmicutes|c__CFGB58251	2|1239|	0.15107	
k__Bacteria|p__Firmicutes|c__CFGB1355	2|1239|	0.13845	
k__Bacteria|p__Firmicutes|c__CFGB1422	2|1239|	0.1312	
k__Bacteria|p__Firmicutes|c__CFGB76465	2|1239|	0.12924	
k__Bacteria|p__Firmicutes|c__CFGB76783	2|1239|	0.09079	
k__Bacteria|p__Firmicutes|c__CFGB1226	2|1239|	0.09017	
k__Bacteria|p__Firmicutes|c__CFGB1800	2|1239|	0.08884	
k__Bacteria|p__Firmicutes|c__CFGB76515	2|1239|	0.08497	
k__Bacteria|p__Firmicutes|c__CFGB2960	2|1239|	0.08414	
k__Bacteria|p__Firmicutes|c__CFGB1201	2|1239|	0.07828	
k__Bacteria|p__Firmicutes|c__CFGB2950	2|1239|	0.0759	
k__Bacteria|p__Firmicutes|c__CFGB9120	2|1239|	0.07422	
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	2|1224|28211	0.06964	
k__Bacteria|p__Firmicutes|c__CFGB10021	2|1239|	0.06507	
k__Bacteria|p__Firmicutes|c__CFGB28372	2|1239|	0.05805	
k__Bacteria|p__Firmicutes|c__CFGB4806	2|1239|	0.05531	
k__Bacteria|p__Firmicutes|c__CFGB2949	2|1239|	0.04623	
k__Bacteria|p__Tenericutes|c__CFGB4862	2|544448|	0.0401	
k__Bacteria|p__Firmicutes|c__CFGB1473	2|1239|	0.0359	
k__Bacteria|p__Firmicutes|c__CFGB3040	2|1239|	0.03255	
k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia	2|976|117747	0.03237	
k__Bacteria|p__Firmicutes|c__CFGB1838	2|1239|	0.0305	
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria	2|1224|29547	0.02822	
k__Bacteria|p__Firmicutes|c__CFGB76356	2|1239|	0.02685	
k__Bacteria|p__Firmicutes|c__CFGB2942	2|1239|	0.02661	
k__Bacteria|p__Firmicutes|c__CFGB4623	2|1239|	0.0264	
k__Bacteria|p__Firmicutes|c__CFGB2954	2|1239|	0.02637	
k__Bacteria|p__Tenericutes|c__CFGB1789	2|544448|	0.02542	
k__Bacteria|p__Firmicutes|c__CFGB1311	2|1239|	0.01867	
k__Bacteria|p__Firmicutes|c__CFGB50577	2|1239|	0.01411	
k__Bacteria|p__Fusobacteria|c__Fusobacteriia	2|32066|203490	0.01406	
k__Bacteria|p__Firmicutes|c__Tissierellia	2|1239|1737404	0.01218	
k__Bacteria|p__Firmicutes|c__CFGB1359	2|1239|	0.01152	
k__Bacteria|p__Firmicutes|c__CFGB2930	2|1239|	0.01063	
k__Bacteria|p__Firmicutes|c__CFGB4559	2|1239|	0.01048	
k__Bacteria|p__Firmicutes|c__CFGB3048	2|1239|	0.00815	
k__Bacteria|p__Firmicutes|c__CFGB73223	2|1239|	0.00799	
k__Archaea|p__Thaumarchaeota|c__Thaumarchaeota_unclassified	2157|651137|	0.00611	
k__Bacteria|p__Firmicutes|c__CFGB1337	2|1239|	0.00607	
k__Bacteria|p__Firmicutes|c__CFGB45503	2|1239|	0.00576	
k__Bacteria|p__Firmicutes|c__CFGB32970	2|1239|	0.00502	
k__Bacteria|p__Firmicutes|c__CFGB3068	2|1239|	0.00476	
k__Bacteria|p__Firmicutes|c__CFGB1507	2|1239|	0.00426	
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	0.00306	
k__Bacteria|p__Firmicutes|c__CFGB3047	2|1239|	0.00295	
k__Bacteria|p__Firmicutes|c__CFGB2858	2|1239|	0.00243	
k__Bacteria|p__Firmicutes|c__CFGB2881	2|1239|	0.00243	
k__Bacteria|p__Firmicutes|c__CFGB1011	2|1239|	0.00236	
k__Bacteria|p__Firmicutes|c__CFGB6389	2|1239|	0.00141	
k__Bacteria|p__Firmicutes|c__CFGB16911	2|1239|	0.00139	
k__Bacteria|p__Firmicutes|c__CFGB9238	2|1239|	0.001	
k__Bacteria|p__Actinobacteria|c__CFGB12107	2|201174|	0.00096	
k__Bacteria|p__Acidobacteria|c__Acidobacteriia	2|57723|204432	0.00087	
k__Bacteria|p__Firmicutes|c__CFGB2856	2|1239|	0.00079	
k__Bacteria|p__Firmicutes|c__CFGB3529	2|1239|	0.0007	
k__Bacteria|p__Firmicutes|c__CFGB14936	2|1239|	0.00048	
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia	2|976|117743	0.00039	
k__Bacteria|p__Deinococcus_Thermus|c__Deinococci	2|1297|188787	0.00031	
k__Bacteria|p__Firmicutes|c__CFGB9718	2|1239|	0.00028	
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharibacteria_unclassified	2|95818|	0.00027	
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharimonia	2|95818|2093818	3e-05	
k__Bacteria|p__Bacteroidetes|c__Chitinophagia	2|976|1853228	1e-05	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales	2|1239|186801|186802	31.02135	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	26.00311	
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	8.76419	
k__Bacteria|p__Firmicutes|c__CFGB31455|o__OFGB31455	2|1239||	4.59214	
k__Bacteria|p__Bacteroidetes|c__CFGB11479|o__OFGB11479	2|976||	2.95829	
k__Bacteria|p__Candidatus_Melainabacteria|c__CFGB2104|o__OFGB2104	2|1798710||	2.71519	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	2|1224|28216|80840	1.68804	
k__Bacteria|p__Firmicutes|c__CFGB73103|o__OFGB73103	2|1239||	1.49407	
k__Bacteria|p__Lentisphaerae|c__Lentisphaeria|o__Victivallales	2|256845|1313211|278082	1.24026	
k__Bacteria|p__Firmicutes|c__CFGB76357|o__OFGB76357	2|1239||	1.03525	
k__Bacteria|p__Firmicutes|c__CFGB2863|o__OFGB2863	2|1239||	0.64471	
k__Bacteria|p__Firmicutes|c__CFGB1479|o__OFGB1479	2|1239||	0.61384	
k__Bacteria|p__Firmicutes|c__CFGB10314|o__OFGB10314	2|1239||	0.61202	
k__Bacteria|p__Candidatus_Melainabacteria|c__CFGB47068|o__OFGB47068	2|1798710||	0.57483	
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	2|1224|28221|213115	0.55738	
k__Bacteria|p__Firmicutes|c__CFGB31626|o__OFGB31626	2|1239||	0.47671	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	2|1239|186801|186802	0.46248	
k__Bacteria|p__Firmicutes|c__CFGB72924|o__OFGB72924	2|1239||	0.4383	
k__Bacteria|p__Firmicutes|c__CFGB38642|o__OFGB38642	2|1239||	0.41616	
k__Bacteria|p__Firmicutes|c__CFGB2982|o__OFGB2982	2|1239||	0.41506	
k__Bacteria|p__Firmicutes|c__CFGB8294|o__OFGB8294	2|1239||	0.41051	
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales	2|1239|909932|1843489	0.39676	
k__Bacteria|p__Bacteroidetes|c__CFGB2107|o__OFGB2107	2|976||	0.374	
k__Bacteria|p__Firmicutes|c__CFGB1763|o__OFGB1763	2|1239||	0.34044	
k__Bacteria|p__Firmicutes|c__CFGB3026|o__OFGB3026	2|1239||	0.29451	
k__Bacteria|p__Firmicutes|c__CFGB3039|o__OFGB3039	2|1239||	0.25146	
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	2|1239|526524|526525	0.25063	
k__Bacteria|p__Proteobacteria|c__CFGB3069|o__OFGB3069	2|1224||	0.22386	
k__Bacteria|p__Firmicutes|c__CFGB9989|o__OFGB9989	2|1239||	0.21715	
k__Bacteria|p__Firmicutes|c__CFGB15209|o__OFGB15209	2|1239||	0.17971	
k__Bacteria|p__Firmicutes|c__CFGB1285|o__OFGB1285	2|1239||	0.17733	
k__Bacteria|p__Firmicutes|c__CFGB1320|o__OFGB1320	2|1239||	0.17632	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	2|1224|1236|91347	0.16295	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified	2|1239|186801|	0.15511	
k__Bacteria|p__Firmicutes|c__CFGB58251|o__OFGB58251	2|1239||	0.15107	
k__Bacteria|p__Firmicutes|c__CFGB1355|o__OFGB1355	2|1239||	0.13845	
k__Bacteria|p__Firmicutes|c__CFGB1422|o__OFGB1422	2|1239||	0.1312	
k__Bacteria|p__Firmicutes|c__CFGB76465|o__OFGB76465	2|1239||	0.12924	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales	2|1224|1236|135624	0.12558	
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	2|1239|91061|1385	0.10662	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Moraxellales	2|1224|1236|2887326	0.09715	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	2|201174|84998|1643822	0.09114	
k__Bacteria|p__Firmicutes|c__CFGB76783|o__OFGB76783	2|1239||	0.09079	
k__Bacteria|p__Firmicutes|c__CFGB1226|o__OFGB1226	2|1239||	0.09017	
k__Bacteria|p__Firmicutes|c__CFGB1800|o__OFGB1800	2|1239||	0.08884	
k__Bacteria|p__Firmicutes|c__CFGB76515|o__OFGB76515	2|1239||	0.08497	
k__Bacteria|p__Firmicutes|c__CFGB2960|o__OFGB2960	2|1239||	0.08414	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	2|201174|84998|84999	0.08395	
k__Bacteria|p__Firmicutes|c__CFGB1201|o__OFGB1201	2|1239||	0.07828	
k__Bacteria|p__Firmicutes|c__CFGB2950|o__OFGB2950	2|1239||	0.0759	
k__Bacteria|p__Firmicutes|c__CFGB9120|o__OFGB9120	2|1239||	0.07422	
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales	2|1224|28211|356	0.06524	
k__Bacteria|p__Firmicutes|c__CFGB10021|o__OFGB10021	2|1239||	0.06507	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales	2|1224|1236|72274	0.05847	
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales	2|1239|909932|909929	0.05825	
k__Bacteria|p__Firmicutes|c__CFGB28372|o__OFGB28372	2|1239||	0.05805	
k__Bacteria|p__Firmicutes|c__CFGB4806|o__OFGB4806	2|1239||	0.05531	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales	2|1224|1236|135625	0.05277	
k__Bacteria|p__Firmicutes|c__CFGB2949|o__OFGB2949	2|1239||	0.04623	
k__Bacteria|p__Tenericutes|c__CFGB4862|o__OFGB4862	2|544448||	0.0401	
k__Bacteria|p__Firmicutes|c__CFGB1473|o__OFGB1473	2|1239||	0.0359	
k__Bacteria|p__Firmicutes|c__CFGB3040|o__OFGB3040	2|1239||	0.03255	
k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia|o__Sphingobacteriales	2|976|117747|200666	0.03237	
k__Bacteria|p__Firmicutes|c__CFGB1838|o__OFGB1838	2|1239||	0.0305	
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales	2|1224|29547|213849	0.02822	
k__Bacteria|p__Firmicutes|c__CFGB76356|o__OFGB76356	2|1239||	0.02685	
k__Bacteria|p__Firmicutes|c__CFGB2942|o__OFGB2942	2|1239||	0.02661	
