#mpa_vOct22_CHOCOPhlAnSGB_202212
#/home/jshaw/miniforge3/envs/mpa4/bin/metaphlan reads/ERR7739005_1.fastq.gz,reads/ERR7739005_2.fastq.gz --bowtie2out metaphlan_results/ERR7739005.bowtie2.bz2 --nproc 50 --input_type fastq -x mpa_vOct22_CHOCOPhlAnSGB_202212 -o metaphlan_results/ERR7739005_metaphlan.txt
#486687826 reads processed
#SampleID	Metaphlan_Analysis
#clade_name	NCBI_tax_id	relative_abundance	additional_species
k__Bacteria	2	99.50084	
k__Archaea	2157	0.49916	
k__Bacteria|p__Firmicutes	2|1239	48.0688	
k__Bacteria|p__Proteobacteria	2|1224	31.7599	
k__Bacteria|p__Bacteroidetes	2|976	12.46734	
k__Bacteria|p__Verrucomicrobia	2|74201	2.93896	
k__Bacteria|p__Actinobacteria	2|201174	2.65978	
k__Bacteria|p__Lentisphaerae	2|256845	1.07791	
k__Archaea|p__Euryarchaeota	2157|28890	0.42335	
k__Bacteria|p__Fusobacteria	2|32066	0.23277	
k__Bacteria|p__Tenericutes	2|544448	0.20106	
k__Archaea|p__Candidatus_Thermoplasmatota	2157|2283796	0.0758	
k__Bacteria|p__Spirochaetes	2|203691	0.03606	
k__Bacteria|p__Candidatus_Melainabacteria	2|1798710	0.03402	
k__Bacteria|p__Synergistetes	2|508458	0.02179	
k__Bacteria|p__Candidatus_Saccharibacteria	2|95818	0.00247	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	29.40997	
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	23.22852	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	9.91598	
k__Bacteria|p__Firmicutes|c__CFGB2982	2|1239|	5.70324	
k__Bacteria|p__Firmicutes|c__CFGB10477	2|1239|	3.37183	
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	2|74201|203494	2.92953	
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	2.90715	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	2.44656	
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	2.31596	
k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia	2|976|117747	1.91097	
k__Bacteria|p__Firmicutes|c__CFGB1355	2|1239|	1.51629	
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria	2|1224|29547	1.37238	
k__Bacteria|p__Firmicutes|c__CFGB3237	2|1239|	1.16294	
k__Bacteria|p__Firmicutes|c__CFGB73062	2|1239|	1.16231	
k__Bacteria|p__Lentisphaerae|c__Lentisphaeria	2|256845|1313211	1.07791	
k__Bacteria|p__Firmicutes|c__CFGB14936	2|1239|	0.59125	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	0.57304	
k__Bacteria|p__Firmicutes|c__CFGB1670	2|1239|	0.49047	
k__Bacteria|p__Firmicutes|c__CFGB31455	2|1239|	0.48952	
k__Archaea|p__Euryarchaeota|c__Methanobacteria	2157|28890|183925	0.42335	
k__Bacteria|p__Firmicutes|c__CFGB10325	2|1239|	0.39187	
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2|1224|28221	0.39125	
k__Bacteria|p__Firmicutes|c__CFGB3068	2|1239|	0.35306	
k__Bacteria|p__Firmicutes|c__Tissierellia	2|1239|1737404	0.32095	
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	0.3123	
k__Bacteria|p__Firmicutes|c__CFGB2849	2|1239|	0.24767	
k__Bacteria|p__Fusobacteria|c__Fusobacteriia	2|32066|203490	0.23277	
k__Bacteria|p__Firmicutes|c__CFGB10314	2|1239|	0.20343	
k__Bacteria|p__Firmicutes|c__CFGB38642	2|1239|	0.18029	
k__Bacteria|p__Firmicutes|c__CFGB2950	2|1239|	0.17868	
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	0.17389	
k__Bacteria|p__Firmicutes|c__CFGB2947	2|1239|	0.17089	
k__Bacteria|p__Firmicutes|c__CFGB1311	2|1239|	0.16583	
k__Bacteria|p__Firmicutes|c__CFGB2942	2|1239|	0.15899	
k__Bacteria|p__Firmicutes|c__CFGB31626	2|1239|	0.15896	
k__Bacteria|p__Firmicutes|c__CFGB73223	2|1239|	0.15711	
k__Bacteria|p__Tenericutes|c__CFGB31328	2|544448|	0.12943	
k__Bacteria|p__Firmicutes|c__CFGB1226	2|1239|	0.12314	
k__Bacteria|p__Firmicutes|c__CFGB9989	2|1239|	0.10545	
k__Bacteria|p__Firmicutes|c__CFGB2863	2|1239|	0.10344	
k__Bacteria|p__Bacteroidetes|c__CFGB667	2|976|	0.09648	
k__Bacteria|p__Firmicutes|c__CFGB13380	2|1239|	0.09034	
k__Archaea|p__Candidatus_Thermoplasmatota|c__Thermoplasmata	2157|2283796|183967	0.0758	
k__Bacteria|p__Firmicutes|c__CFGB45503	2|1239|	0.07157	
k__Bacteria|p__Firmicutes|c__CFGB1201	2|1239|	0.07045	
k__Bacteria|p__Firmicutes|c__CFGB2840	2|1239|	0.06692	
k__Bacteria|p__Firmicutes|c__CFGB4806	2|1239|	0.06573	
k__Bacteria|p__Firmicutes|c__CFGB76783	2|1239|	0.05902	
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	0.05263	
k__Bacteria|p__Firmicutes|c__CFGB1262	2|1239|	0.05031	
k__Bacteria|p__Tenericutes|c__CFGB343	2|544448|	0.04947	
k__Bacteria|p__Proteobacteria|c__CFGB3069	2|1224|	0.04865	
k__Bacteria|p__Firmicutes|c__CFGB76357	2|1239|	0.03933	
k__Bacteria|p__Actinobacteria|c__CFGB12107	2|201174|	0.03839	
k__Bacteria|p__Spirochaetes|c__Spirochaetia	2|203691|203692	0.03606	
k__Bacteria|p__Firmicutes|c__CFGB10021	2|1239|	0.03498	
k__Bacteria|p__Firmicutes|c__CFGB9238	2|1239|	0.03452	
k__Bacteria|p__Candidatus_Melainabacteria|c__CFGB2104	2|1798710|	0.03229	
k__Bacteria|p__Firmicutes|c__CFGB72899	2|1239|	0.03165	
k__Bacteria|p__Firmicutes|c__CFGB1507	2|1239|	0.02525	
k__Bacteria|p__Firmicutes|c__CFGB75985	2|1239|	0.0233	
k__Bacteria|p__Tenericutes|c__CFGB4862	2|544448|	0.02216	
k__Bacteria|p__Synergistetes|c__Synergistia	2|508458|649775	0.02179	
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia	2|976|117743	0.02149	
k__Bacteria|p__Firmicutes|c__CFGB76356	2|1239|	0.02119	
k__Bacteria|p__Firmicutes|c__CFGB76465	2|1239|	0.02107	
k__Bacteria|p__Firmicutes|c__CFGB10312	2|1239|	0.0208	
k__Bacteria|p__Bacteroidetes|c__CFGB4405	2|976|	0.01883	
k__Bacteria|p__Firmicutes|c__CFGB2936	2|1239|	0.0186	
k__Bacteria|p__Firmicutes|c__CFGB2983	2|1239|	0.01706	
k__Bacteria|p__Firmicutes|c__CFGB9120	2|1239|	0.01684	
k__Bacteria|p__Firmicutes|c__CFGB16911	2|1239|	0.01391	
k__Bacteria|p__Firmicutes|c__CFGB3043	2|1239|	0.01335	
k__Bacteria|p__Firmicutes|c__CFGB3048	2|1239|	0.01251	
k__Bacteria|p__Firmicutes|c__CFGB1320	2|1239|	0.01237	
k__Bacteria|p__Firmicutes|c__CFGB76398	2|1239|	0.01135	
k__Bacteria|p__Firmicutes|c__CFGB1337	2|1239|	0.01117	
k__Bacteria|p__Verrucomicrobia|c__CFGB2164	2|74201|	0.00943	
k__Bacteria|p__Firmicutes|c__CFGB1838	2|1239|	0.00916	
k__Bacteria|p__Proteobacteria|c__CFGB2401	2|1224|	0.0072	
k__Bacteria|p__Firmicutes|c__CFGB30287	2|1239|	0.00707	
k__Bacteria|p__Bacteroidetes|c__CFGB618	2|976|	0.00675	
k__Bacteria|p__Bacteroidetes|c__CFGB35473	2|976|	0.00637	
k__Bacteria|p__Firmicutes|c__CFGB2957	2|1239|	0.00569	
k__Bacteria|p__Firmicutes|c__CFGB1772	2|1239|	0.00558	
k__Bacteria|p__Firmicutes|c__CFGB32970	2|1239|	0.00537	
k__Bacteria|p__Firmicutes|c__CFGB72924	2|1239|	0.00528	
k__Bacteria|p__Firmicutes|c__CFGB2954	2|1239|	0.00514	
k__Bacteria|p__Firmicutes|c__CFGB1292	2|1239|	0.00479	
k__Bacteria|p__Firmicutes|c__CFGB76388	2|1239|	0.00443	
k__Bacteria|p__Firmicutes|c__CFGB2881	2|1239|	0.00413	
k__Bacteria|p__Firmicutes|c__CFGB1359	2|1239|	0.00398	
k__Bacteria|p__Firmicutes|c__CFGB8331	2|1239|	0.00364	
k__Bacteria|p__Firmicutes|c__CFGB1347	2|1239|	0.00339	
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	2|1224|28211	0.00233	
k__Bacteria|p__Firmicutes|c__CFGB9718	2|1239|	0.00232	
k__Bacteria|p__Firmicutes|c__CFGB1800	2|1239|	0.00221	
k__Bacteria|p__Firmicutes|c__CFGB1011	2|1239|	0.00193	
k__Bacteria|p__Firmicutes|c__CFGB76784	2|1239|	0.00191	
k__Bacteria|p__Bacteroidetes|c__CFGB2107	2|976|	0.00174	
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharibacteria_unclassified	2|95818|	0.00174	
k__Bacteria|p__Firmicutes|c__CFGB2915	2|1239|	0.00128	
k__Bacteria|p__Firmicutes|c__CFGB3529	2|1239|	0.00062	
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharimonia	2|95818|2093818	0.00059	
k__Bacteria|p__Firmicutes|c__CFGB3172	2|1239|	0.00058	
k__Bacteria|p__Firmicutes|c__CFGB3047	2|1239|	0.00056	
k__Bacteria|p__Firmicutes|c__CFGB3071	2|1239|	0.00056	
k__Bacteria|p__Firmicutes|c__CFGB2873	2|1239|	0.00053	
k__Bacteria|p__Firmicutes|c__CFGB1538	2|1239|	0.00033	
k__Bacteria|p__Firmicutes|c__CFGB2930	2|1239|	0.00028	
k__Bacteria|p__Firmicutes|c__CFGB9977	2|1239|	0.00024	
