#mpa_vOct22_CHOCOPhlAnSGB_202212
#/home/jshaw/miniforge3/envs/mpa4/bin/metaphlan --input_type fastq ERR7803603_1.fastq.gz,ERR7803603_2.fastq.gz --nproc 40 --bowtie2out results/ERR7803603.bt2 -x mpa_vOct22_CHOCOPhlAnSGB_202212 -o ERR7803603.metaphlan
#1474680086 reads processed
#SampleID	Metaphlan_Analysis
#clade_name	NCBI_tax_id	relative_abundance	additional_species
k__Bacteria|p__Firmicutes|c__CFGB1359	2|1239|	0.06946	
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	2|1224|28211	0.06789	
k__Bacteria|p__Firmicutes|c__CFGB76515	2|1239|	0.06728	
k__Bacteria|p__Firmicutes|c__CFGB1772	2|1239|	0.05639	
k__Bacteria|p__Firmicutes|c__CFGB1337	2|1239|	0.05631	
k__Bacteria|p__Bacteroidetes|c__CFGB4405	2|976|	0.051	
k__Bacteria|p__Firmicutes|c__CFGB1473	2|1239|	0.04844	
k__Bacteria|p__Firmicutes|c__CFGB2930	2|1239|	0.04822	
k__Bacteria|p__Firmicutes|c__CFGB2932	2|1239|	0.04767	
k__Bacteria|p__Firmicutes|c__CFGB31455	2|1239|	0.04644	
k__Bacteria|p__Firmicutes|c__CFGB1292	2|1239|	0.04388	
k__Bacteria|p__Firmicutes|c__CFGB1355	2|1239|	0.04231	
k__Bacteria|p__Firmicutes|c__CFGB1479	2|1239|	0.04209	
k__Bacteria|p__Proteobacteria|c__CFGB2394	2|1224|	0.03967	
k__Bacteria|p__Firmicutes|c__CFGB76357	2|1239|	0.03907	
k__Bacteria|p__Firmicutes|c__CFGB2936	2|1239|	0.03712	
k__Bacteria|p__Firmicutes|c__CFGB10477	2|1239|	0.03656	
k__Bacteria|p__Firmicutes|c__CFGB2949	2|1239|	0.03321	
k__Bacteria|p__Candidatus_Melainabacteria|c__CFGB2104	2|1798710|	0.0316	
k__Bacteria|p__Proteobacteria|c__CFGB3069	2|1224|	0.02993	
k__Bacteria|p__Firmicutes|c__CFGB76191	2|1239|	0.02988	
k__Bacteria|p__Firmicutes|c__CFGB1201	2|1239|	0.0289	
k__Bacteria|p__Firmicutes|c__CFGB2954	2|1239|	0.02722	
k__Bacteria|p__Firmicutes|c__CFGB4559	2|1239|	0.02648	
k__Bacteria|p__Firmicutes|c__CFGB9828	2|1239|	0.025	
k__Bacteria|p__Firmicutes|c__CFGB2858	2|1239|	0.02446	
k__Bacteria|p__Firmicutes|c__CFGB76560	2|1239|	0.02413	
k__Bacteria|p__Firmicutes|c__CFGB1213	2|1239|	0.01994	
k__Bacteria|p__Firmicutes|c__CFGB2873	2|1239|	0.01803	
k__Bacteria|p__Firmicutes|c__CFGB76356	2|1239|	0.01803	
k__Bacteria|p__Firmicutes|c__CFGB76784	2|1239|	0.01785	
k__Bacteria|p__Bacteroidetes|c__CFGB2107	2|976|	0.01756	
k__Bacteria|p__Firmicutes|c__CFGB1798	2|1239|	0.01532	
k__Bacteria|p__Firmicutes|c__CFGB76465	2|1239|	0.01518	
k__Bacteria|p__Firmicutes|c__CFGB2950	2|1239|	0.01449	
k__Bacteria|p__Firmicutes|c__CFGB76509	2|1239|	0.01349	
k__Bacteria|p__Firmicutes|c__CFGB10021	2|1239|	0.01284	
k__Bacteria|p__Firmicutes|c__CFGB45503	2|1239|	0.01254	
k__Bacteria|p__Firmicutes|c__CFGB1800	2|1239|	0.01177	
k__Bacteria|p__Firmicutes|c__CFGB2923	2|1239|	0.01173	
k__Bacteria|p__Firmicutes|c__CFGB6389	2|1239|	0.01103	
k__Bacteria|p__Firmicutes|c__CFGB3360	2|1239|	0.01009	
k__Bacteria|p__Firmicutes|c__CFGB3071	2|1239|	0.00993	
k__Bacteria|p__Firmicutes|c__CFGB2947	2|1239|	0.00841	
k__Bacteria|p__Firmicutes|c__CFGB1311	2|1239|	0.00831	
k__Bacteria|p__Firmicutes|c__CFGB9120	2|1239|	0.00743	
k__Bacteria|p__Firmicutes|c__CFGB1352	2|1239|	0.00729	
k__Bacteria|p__Firmicutes|c__CFGB2960	2|1239|	0.00724	
k__Eukaryota|p__Eukaryota_unclassified|c__Eukaryota_unclassified	2759||	0.00675	
k__Bacteria|p__Firmicutes|c__CFGB16911	2|1239|	0.00551	
k__Bacteria|p__Firmicutes|c__CFGB2921	2|1239|	0.00519	
k__Bacteria|p__Firmicutes|c__CFGB15209	2|1239|	0.00492	
k__Bacteria|p__Firmicutes|c__CFGB1507	2|1239|	0.00446	
k__Bacteria|p__Firmicutes|c__CFGB13380	2|1239|	0.00439	
k__Bacteria|p__Firmicutes|c__CFGB1422	2|1239|	0.00402	
k__Bacteria|p__Actinobacteria|c__CFGB10299	2|201174|	0.00395	
k__Bacteria|p__Proteobacteria|c__CFGB2116	2|1224|	0.00385	
k__Bacteria|p__Firmicutes|c__CFGB9718	2|1239|	0.00366	
k__Bacteria|p__Firmicutes|c__CFGB2829	2|1239|	0.00356	
k__Bacteria|p__Firmicutes|c__CFGB10312	2|1239|	0.00339	
k__Bacteria|p__Firmicutes|c__CFGB1307	2|1239|	0.00331	
k__Bacteria|p__Actinobacteria|c__CFGB12107	2|201174|	0.00285	
k__Bacteria|p__Proteobacteria|c__CFGB76404	2|1224|	0.0026	
k__Bacteria|p__Firmicutes|c__CFGB32970	2|1239|	0.00256	
k__Bacteria|p__Firmicutes|c__CFGB8140	2|1239|	0.00245	
k__Bacteria|p__Firmicutes|c__CFGB3048	2|1239|	0.00234	
k__Bacteria|p__Firmicutes|c__CFGB3039	2|1239|	0.00216	
