#mpa_vOct22_CHOCOPhlAnSGB_202212
#/home/jshaw/miniforge3/envs/mpa4/bin/metaphlan reads/ERR7745291_subsamp0.10_1.fastq.gz,reads/ERR7745291_subsamp0.10_2.fastq.gz --bowtie2out metaphlan_temp/ERR7745291_subsamp0.10.bowtie2.bz2 --nproc 50 --input_type fastq -x mpa_vOct22_CHOCOPhlAnSGB_202212 -o metaphlan_results/ERR7745291_subsamp0.10_metaphlan.txt
#57892336 reads processed
#SampleID	Metaphlan_Analysis
#clade_name	NCBI_tax_id	relative_abundance	additional_species
k__Bacteria	2	99.95268	
k__Eukaryota	2759	0.04732	
k__Bacteria|p__Bacteroidetes	2|976	37.7729	
k__Bacteria|p__Firmicutes	2|1239	36.57253	
k__Bacteria|p__Proteobacteria	2|1224	16.22898	
k__Bacteria|p__Candidatus_Melainabacteria	2|1798710	4.48878	
k__Bacteria|p__Elusimicrobia	2|74152	2.35533	
k__Bacteria|p__Actinobacteria	2|201174	1.53505	
k__Bacteria|p__Tenericutes	2|544448	0.86923	
k__Bacteria|p__Spirochaetes	2|203691	0.11559	
k__Eukaryota|p__Eukaryota_unclassified	2759|	0.04732	
k__Bacteria|p__Fusobacteria	2|32066	0.01429	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	25.8028	
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	23.29533	
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria	2|1224|29547	5.48463	
k__Bacteria|p__Proteobacteria|c__CFGB8587	2|1224|	4.74548	
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	3.99432	
k__Bacteria|p__Candidatus_Melainabacteria|c__CFGB2104	2|1798710|	3.57845	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	2.64883	
k__Bacteria|p__Bacteroidetes|c__CFGB11479	2|976|	2.3937	
k__Bacteria|p__Elusimicrobia|c__Elusimicrobia	2|74152|641853	2.35533	
k__Bacteria|p__Bacteroidetes|c__CFGB653	2|976|	2.05366	
k__Bacteria|p__Bacteroidetes|c__CFGB511	2|976|	1.95227	
k__Bacteria|p__Bacteroidetes|c__CFGB658	2|976|	1.70282	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	1.56748	
k__Bacteria|p__Bacteroidetes|c__CFGB629	2|976|	1.42927	
k__Bacteria|p__Firmicutes|c__CFGB38642	2|1239|	1.42001	
k__Bacteria|p__Proteobacteria|c__CFGB544	2|1224|	1.20641	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	1.19695	
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	1.0954	
k__Bacteria|p__Firmicutes|c__CFGB13380	2|1239|	1.08557	
k__Bacteria|p__Bacteroidetes|c__CFGB2107	2|976|	0.86494	
k__Bacteria|p__Firmicutes|c__CFGB2947	2|1239|	0.76342	
k__Bacteria|p__Firmicutes|c__CFGB9120	2|1239|	0.58138	
k__Bacteria|p__Proteobacteria|c__CFGB2401	2|1224|	0.52349	
k__Bacteria|p__Tenericutes|c__CFGB1779	2|544448|	0.48241	
k__Bacteria|p__Bacteroidetes|c__CFGB1458	2|976|	0.46859	
k__Bacteria|p__Firmicutes|c__CFGB72899	2|1239|	0.37354	
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	0.33367	
k__Bacteria|p__Tenericutes|c__CFGB10317	2|544448|	0.3182	
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia	2|976|117743	0.29097	
k__Bacteria|p__Bacteroidetes|c__CFGB72486	2|976|	0.29006	
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	0.28286	
k__Bacteria|p__Firmicutes|c__CFGB2840	2|1239|	0.28025	
k__Bacteria|p__Firmicutes|c__CFGB72924	2|1239|	0.27763	
k__Bacteria|p__Firmicutes|c__Tissierellia	2|1239|1737404	0.1862	
k__Bacteria|p__Firmicutes|c__CFGB8140	2|1239|	0.18432	
k__Bacteria|p__Firmicutes|c__CFGB50577	2|1239|	0.17345	
k__Bacteria|p__Firmicutes|c__CFGB1359	2|1239|	0.13892	
k__Bacteria|p__Firmicutes|c__CFGB1800	2|1239|	0.12754	
k__Bacteria|p__Firmicutes|c__CFGB3048	2|1239|	0.11667	
k__Bacteria|p__Spirochaetes|c__Spirochaetia	2|203691|203692	0.11559	
k__Bacteria|p__Bacteroidetes|c__CFGB4405	2|976|	0.10014	
k__Bacteria|p__Firmicutes|c__CFGB3068	2|1239|	0.09863	
k__Bacteria|p__Proteobacteria|c__CFGB8588	2|1224|	0.079	
k__Bacteria|p__Firmicutes|c__CFGB3040	2|1239|	0.07567	
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	2|1224|28211	0.07106	
k__Bacteria|p__Firmicutes|c__CFGB1479	2|1239|	0.06501	
k__Bacteria|p__Firmicutes|c__CFGB2932	2|1239|	0.06189	
k__Bacteria|p__Firmicutes|c__CFGB10312	2|1239|	0.05836	
k__Bacteria|p__Firmicutes|c__CFGB1799	2|1239|	0.05781	
k__Bacteria|p__Firmicutes|c__CFGB2942	2|1239|	0.05632	
k__Bacteria|p__Firmicutes|c__CFGB1311	2|1239|	0.0547	
k__Bacteria|p__Firmicutes|c__CFGB76359	2|1239|	0.05432	
k__Bacteria|p__Firmicutes|c__CFGB14936	2|1239|	0.05105	
k__Bacteria|p__Firmicutes|c__CFGB1422	2|1239|	0.04799	
k__Eukaryota|p__Eukaryota_unclassified|c__Eukaryota_unclassified	2759||	0.04732	
k__Bacteria|p__Firmicutes|c__CFGB4559	2|1239|	0.04717	
k__Bacteria|p__Candidatus_Melainabacteria|c__CFGB2105	2|1798710|	0.04539	
k__Bacteria|p__Firmicutes|c__CFGB1226	2|1239|	0.03939	
k__Bacteria|p__Firmicutes|c__CFGB10021	2|1239|	0.03848	
k__Bacteria|p__Firmicutes|c__CFGB9989	2|1239|	0.03842	
k__Bacteria|p__Firmicutes|c__CFGB9773	2|1239|	0.03825	
k__Bacteria|p__Firmicutes|c__CFGB2833	2|1239|	0.03806	
k__Bacteria|p__Firmicutes|c__CFGB76356	2|1239|	0.03697	
k__Bacteria|p__Firmicutes|c__CFGB10325	2|1239|	0.03651	
k__Bacteria|p__Bacteroidetes|c__CFGB535	2|976|	0.03582	
k__Bacteria|p__Firmicutes|c__CFGB9718	2|1239|	0.03273	
k__Bacteria|p__Firmicutes|c__CFGB76465	2|1239|	0.02981	
k__Bacteria|p__Bacteroidetes|c__CFGB4448	2|976|	0.02727	
k__Bacteria|p__Firmicutes|c__CFGB31455	2|1239|	0.02613	
k__Bacteria|p__Firmicutes|c__CFGB8331	2|1239|	0.02515	
k__Bacteria|p__Firmicutes|c__CFGB4623	2|1239|	0.02471	
k__Bacteria|p__Firmicutes|c__CFGB1763	2|1239|	0.02443	
k__Bacteria|p__Firmicutes|c__CFGB2861	2|1239|	0.02297	
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2|1224|28221	0.02219	
k__Bacteria|p__Firmicutes|c__CFGB1292	2|1239|	0.02199	
k__Bacteria|p__Firmicutes|c__CFGB4655	2|1239|	0.02136	
k__Bacteria|p__Firmicutes|c__CFGB28372	2|1239|	0.02122	
k__Bacteria|p__Firmicutes|c__CFGB1838	2|1239|	0.02085	
k__Bacteria|p__Firmicutes|c__CFGB72926	2|1239|	0.01689	
k__Bacteria|p__Firmicutes|c__CFGB1355	2|1239|	0.0157	
k__Bacteria|p__Firmicutes|c__CFGB2954	2|1239|	0.01468	
k__Bacteria|p__Fusobacteria|c__Fusobacteriia	2|32066|203490	0.01429	
k__Bacteria|p__Bacteroidetes|c__CFGB39511	2|976|	0.014	
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	0.01351	
k__Bacteria|p__Tenericutes|c__CFGB1789	2|544448|	0.01305	
k__Bacteria|p__Firmicutes|c__CFGB29420	2|1239|	0.01286	
k__Bacteria|p__Firmicutes|c__CFGB45503	2|1239|	0.01225	
k__Bacteria|p__Firmicutes|c__CFGB2836	2|1239|	0.01073	
k__Bacteria|p__Firmicutes|c__CFGB2949	2|1239|	0.0096	
k__Bacteria|p__Firmicutes|c__CFGB2936	2|1239|	0.00655	
k__Bacteria|p__Firmicutes|c__CFGB76560	2|1239|	0.00634	
k__Bacteria|p__Firmicutes|c__CFGB76515	2|1239|	0.00572	
k__Bacteria|p__Firmicutes|c__CFGB1798	2|1239|	0.00559	
k__Bacteria|p__Proteobacteria|c__CFGB3069	2|1224|	0.00538	
k__Bacteria|p__Firmicutes|c__CFGB2950	2|1239|	0.00528	
k__Bacteria|p__Firmicutes|c__CFGB76191	2|1239|	0.00511	
k__Bacteria|p__Firmicutes|c__CFGB3039	2|1239|	0.00453	
k__Bacteria|p__Actinobacteria|c__CFGB12107	2|201174|	0.00373	
k__Bacteria|p__Firmicutes|c__CFGB58251	2|1239|	0.00256	
k__Bacteria|p__Firmicutes|c__CFGB2930	2|1239|	0.00222	
k__Bacteria|p__Firmicutes|c__CFGB1347	2|1239|	0.00209	
k__Bacteria|p__Firmicutes|c__CFGB2960	2|1239|	0.00208	
k__Bacteria|p__Bacteroidetes|c__CFGB76103	2|976|	0.00125	
k__Bacteria|p__Firmicutes|c__CFGB32970	2|1239|	0.00092	
k__Bacteria|p__Firmicutes|c__CFGB16911	2|1239|	0.00084	
k__Bacteria|p__Actinobacteria|c__CFGB10299	2|201174|	0.0007	
k__Bacteria|p__Firmicutes|c__CFGB1507	2|1239|	0.00068	
k__Bacteria|p__Firmicutes|c__CFGB1288	2|1239|	0.0005	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	25.8028	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales	2|1239|186801|186802	23.08917	
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales	2|1224|29547|213849	5.48463	
k__Bacteria|p__Proteobacteria|c__CFGB8587|o__OFGB8587	2|1224||	4.74548	
k__Bacteria|p__Candidatus_Melainabacteria|c__CFGB2104|o__OFGB2104	2|1798710||	3.57845	
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	3.32357	
k__Bacteria|p__Bacteroidetes|c__CFGB11479|o__OFGB11479	2|976||	2.3937	
k__Bacteria|p__Elusimicrobia|c__Elusimicrobia|o__Elusimicrobiales	2|74152|641853|641854	2.35533	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales	2|1224|1236|135624	2.28684	
k__Bacteria|p__Bacteroidetes|c__CFGB653|o__OFGB653	2|976||	2.05366	
k__Bacteria|p__Bacteroidetes|c__CFGB511|o__OFGB511	2|976||	1.95227	
k__Bacteria|p__Bacteroidetes|c__CFGB658|o__OFGB658	2|976||	1.70282	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	2|1224|28216|80840	1.56748	
k__Bacteria|p__Bacteroidetes|c__CFGB629|o__OFGB629	2|976||	1.42927	
k__Bacteria|p__Firmicutes|c__CFGB38642|o__OFGB38642	2|1239||	1.42001	
