#mpa_vOct22_CHOCOPhlAnSGB_202212
#/home/jshaw/miniforge3/envs/mpa4/bin/metaphlan reads/ERR7738938_1.fastq.gz,reads/ERR7738938_2.fastq.gz --bowtie2out metaphlan_temp/ERR7738938.bowtie2.bz2 --nproc 50 --input_type fastq -x mpa_vOct22_CHOCOPhlAnSGB_202212 -o metaphlan_results/ERR7738938_metaphlan.txt
#391843615 reads processed
#SampleID	Metaphlan_Analysis
#clade_name	NCBI_tax_id	relative_abundance	additional_species
k__Bacteria	2	99.99283	
k__Archaea	2157	0.00717	
k__Bacteria|p__Bacteroidetes	2|976	55.29867	
k__Bacteria|p__Proteobacteria	2|1224	30.12267	
k__Bacteria|p__Firmicutes	2|1239	11.9737	
k__Bacteria|p__Tenericutes	2|544448	1.68955	
k__Bacteria|p__Actinobacteria	2|201174	0.90438	
k__Archaea|p__Euryarchaeota	2157|28890	0.00717	
k__Bacteria|p__Spirochaetes	2|203691	0.00354	
k__Bacteria|p__Elusimicrobia	2|74152	0.00027	
k__Bacteria|p__Lentisphaerae	2|256845	5e-05	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	51.90562	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	28.26115	
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	6.70606	
k__Bacteria|p__Tenericutes|c__CFGB341	2|544448|	1.68917	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	1.19136	
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	0.93465	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	0.79256	
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	0.77862	
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	0.75044	
k__Bacteria|p__Bacteroidetes|c__CFGB658	2|976|	0.74494	
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria	2|1224|29547	0.64814	
k__Bacteria|p__Firmicutes|c__CFGB9581	2|1239|	0.59905	
k__Bacteria|p__Bacteroidetes|c__CFGB11479	2|976|	0.50001	
k__Bacteria|p__Bacteroidetes|c__CFGB629	2|976|	0.48816	
k__Bacteria|p__Bacteroidetes|c__CFGB1458	2|976|	0.42018	
k__Bacteria|p__Firmicutes|c__CFGB330	2|1239|	0.40055	
k__Bacteria|p__Bacteroidetes|c__CFGB4405	2|976|	0.36164	
k__Bacteria|p__Proteobacteria|c__CFGB544	2|1224|	0.33525	
k__Bacteria|p__Firmicutes|c__CFGB76783	2|1239|	0.22435	
k__Bacteria|p__Firmicutes|c__CFGB72924	2|1239|	0.18374	
k__Bacteria|p__Firmicutes|c__CFGB4806	2|1239|	0.17588	
k__Bacteria|p__Bacteroidetes|c__CFGB4448	2|976|	0.12062	
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	0.11183	
k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia	2|976|117747	0.11155	
k__Bacteria|p__Bacteroidetes|c__CFGB653	2|976|	0.09894	
k__Bacteria|p__Bacteroidetes|c__CFGB635	2|976|	0.09254	
k__Bacteria|p__Firmicutes|c__CFGB14936	2|1239|	0.09205	
k__Bacteria|p__Firmicutes|c__CFGB1800	2|1239|	0.09171	
k__Bacteria|p__Firmicutes|c__CFGB1838	2|1239|	0.08102	
k__Bacteria|p__Firmicutes|c__CFGB9989	2|1239|	0.07249	
k__Bacteria|p__Firmicutes|c__CFGB29420	2|1239|	0.06737	
k__Bacteria|p__Firmicutes|c__CFGB72899	2|1239|	0.06704	
k__Bacteria|p__Firmicutes|c__CFGB76191	2|1239|	0.06151	
k__Bacteria|p__Firmicutes|c__CFGB76578	2|1239|	0.05854	
k__Bacteria|p__Firmicutes|c__CFGB1311	2|1239|	0.05675	
k__Bacteria|p__Firmicutes|c__CFGB10021	2|1239|	0.05327	
k__Bacteria|p__Firmicutes|c__CFGB1226	2|1239|	0.04457	
k__Bacteria|p__Firmicutes|c__CFGB76515	2|1239|	0.03663	
k__Bacteria|p__Firmicutes|c__CFGB76465	2|1239|	0.03657	
k__Bacteria|p__Firmicutes|c__CFGB9120	2|1239|	0.03625	
k__Bacteria|p__Firmicutes|c__CFGB1359	2|1239|	0.03585	
k__Bacteria|p__Firmicutes|c__CFGB337	2|1239|	0.03377	
k__Bacteria|p__Bacteroidetes|c__CFGB511	2|976|	0.03367	
k__Bacteria|p__Firmicutes|c__CFGB2982	2|1239|	0.03249	
k__Bacteria|p__Firmicutes|c__CFGB2932	2|1239|	0.02989	
k__Bacteria|p__Firmicutes|c__CFGB73062	2|1239|	0.02743	
k__Bacteria|p__Firmicutes|c__CFGB1473	2|1239|	0.02687	
k__Bacteria|p__Firmicutes|c__CFGB1355	2|1239|	0.02495	
k__Bacteria|p__Bacteroidetes|c__CFGB72486	2|976|	0.0236	
